"agent","agent_is","weight","hierarchy_belongs","source"
"SDNC","DeepNN","1","AI","SDNC"
"ConvKN","DeepNN","1","AI","ConvKN"
"AP-CNN","DeepNN","1","AI","AP-CNN"
"ARC-II","DeepNN","1","AI","ARC-II"
"Kelp","DeepNN","1","AI","Kelp"
"Attentive LSTM","DeepNN","1","AI","Attentive LSTM"
"LSTM (lexical overlap + dist output)","DeepNN","1","AI","LSTM (lexical overlap + dist output)"
"Bigram-CNN (lexical overlap + dist output)","DeepNN","1","AI","Bigram-CNN (lexical overlap + dist output)"
"Paragraph vector (lexical overlap + dist output)","DeepNN","1","AI","Paragraph vector (lexical overlap + dist output)"
"Bigram-CNN","DeepNN","1","AI","Bigram-CNN"
"Paragraph vector","DeepNN","1","AI","Paragraph vector"
"BERT Large Augmented (single model)","DeepNN","1","AI","BERT Large Augmented (single model)"
"SDNet (ensemble)","DeepNN","1","AI","SDNet (ensemble)"
"BERT-base finetune (single model)","DeepNN","1","AI","BERT-base finetune (single model)"
"SDNet (single model)","DeepNN","1","AI","SDNet (single model)"
"FlowQA (single model)","DeepNN","1","AI","FlowQA (single model)"
"DrQA + seq2seq with copy attention (single model)","DeepNN","1","AI","DrQA + seq2seq with copy attention (single model)"
"Vanilla DrQA (single model)","DeepNN","1","AI","Vanilla DrQA (single model)"
"AP-BiLSTM","DeepNN","1","AI","AP-BiLSTM"
"Masque Q&A Style","DeepNN","1","AI","Masque Q&A Style"
"Deep Cascade QA","DeepNN","1","AI","Deep Cascade QA"
"VNET","DeepNN","1","AI","VNET"
"BiDaF Baseline","DeepNN","1","AI","BiDaF Baseline"
"Parallel-Hierarchical","DeepNN","1","AI","Parallel-Hierarchical"
"Memory chains and semantic supervision","DeepNN","1","AI","Memory chains and semantic supervision"
"Hidden Coherence Model","DeepNN","1","AI","Hidden Coherence Model"
"val-LS-skip","DeepNN","1","AI","val-LS-skip"
"Subgraph embeddings","DeepNN","1","AI","Subgraph embeddings"
"Weakly Supervised Embeddings","DeepNN","1","AI","Weakly Supervised Embeddings"
"BERT + Synthetic Self-Training (ensemble)","DeepNN","1","AI","BERT + Synthetic Self-Training (ensemble)"
"BERT finetune baseline (ensemble)","DeepNN","1","AI","BERT finetune baseline (ensemble)"
"Lunet + Verifier + BERT (ensemble)","DeepNN","1","AI","Lunet + Verifier + BERT (ensemble)"
"PAML+BERT (ensemble model)","DeepNN","1","AI","PAML+BERT (ensemble model)"
"Lunet + Verifier + BERT (single model)","DeepNN","1","AI","Lunet + Verifier + BERT (single model)"
"BERT + Synthetic Self-Training (single model)","DeepNN","1","AI","BERT + Synthetic Self-Training (single model)"
"PAML+BERT (single model)","DeepNN","1","AI","PAML+BERT (single model)"
"AoA + DA + BERT (ensemble)","DeepNN","1","AI","AoA + DA + BERT (ensemble)"
"BERT finetune baseline (single model)","DeepNN","1","AI","BERT finetune baseline (single model)"
"Candi-Net+BERT (ensemble)","DeepNN","1","AI","Candi-Net+BERT (ensemble)"
"AoA + DA + BERT (single model)","DeepNN","1","AI","AoA + DA + BERT (single model)"
"Candi-Net+BERT (single model)","DeepNN","1","AI","Candi-Net+BERT (single model)"
"Bert-raw (single model)","DeepNN","1","AI","Bert-raw (single model)"
"BERT + NeurQuRI (single model)","DeepNN","1","AI","BERT + NeurQuRI (single model)"
"PwP+BERT (single model)","DeepNN","1","AI","PwP+BERT (single model)"
"NEXYS_BASE (single model)","DeepNN","1","AI","NEXYS_BASE (single model)"
"L6Net + BERT (single model)","DeepNN","1","AI","L6Net + BERT (single model)"
"Bert-raw-full (single model)","DeepNN","1","AI","Bert-raw-full (single model)"
"BERT+AC(single model)","DeepNN","1","AI","BERT+AC(single model)"
"SLQA+BERT (single model)","DeepNN","1","AI","SLQA+BERT (single model)"
"synss (single model )","DeepNN","1","AI","synss (single model )"
"ARSG-BERT (single model)","DeepNN","1","AI","ARSG-BERT (single model)"
"{Anonymous} (single model)","DeepNN","1","AI","{Anonymous} (single model)"
"YARCS (ensemble)","DeepNN","1","AI","YARCS (ensemble)"
"RNANetSimple (ensemble)","DeepNN","1","AI","RNANetSimple (ensemble)"
"Reinforced Mnemonic Reader + Answer Verifier (single model)","DeepNN","1","AI","Reinforced Mnemonic Reader + Answer Verifier (single model)"
"BERT+Answer Verifier (single model)","DeepNN","1","AI","BERT+Answer Verifier (single model)"
"Unet (ensemble)","DeepNN","1","AI","Unet (ensemble)"
"RNANetSimple (single model)","DeepNN","1","AI","RNANetSimple (single model)"
"FusionNet++ (ensemble)","DeepNN","1","AI","FusionNet++ (ensemble)"
"Multi-Level Attention Fusion(MLAF) (single model)","DeepNN","1","AI","Multi-Level Attention Fusion(MLAF) (single model)"
"Unet (single model)","DeepNN","1","AI","Unet (single model)"
"DocQA + NeurQuRI (single model)","DeepNN","1","AI","DocQA + NeurQuRI (single model)"
"ARRR (single model)","DeepNN","1","AI","ARRR (single model)"
"KACTEIL-MRC(GFN-Net) (single model)","DeepNN","1","AI","KACTEIL-MRC(GFN-Net) (single model)"
"EBB-Net (single model)","DeepNN","1","AI","EBB-Net (single model)"
"KakaoNet2 (single model)","DeepNN","1","AI","KakaoNet2 (single model)"
"abcNet (single model)","DeepNN","1","AI","abcNet (single model)"
"BSAE AddText (single model)","DeepNN","1","AI","BSAE AddText (single model)"
"BiDAF-No-Answer (single model)","DeepNN","1","AI","BiDAF-No-Answer (single model)"
"Tree-LSTM + BiDAF + ELMo (single model)","DeepNN","1","AI","Tree-LSTM + BiDAF + ELMo (single model)"
"MemoReader","DeepNN","1","AI","MemoReader"
"S-Norm","DeepNN","1","AI","S-Norm"
"Reading Twice for NLU","DeepNN","1","AI","Reading Twice for NLU"
"Mnemonic Reader","DeepNN","1","AI","Mnemonic Reader"
"MEMEN","DeepNN","1","AI","MEMEN"
"GA+MAGE (32)","DeepNN","1","AI","GA+MAGE (32)"
"GA Reader","DeepNN","1","AI","GA Reader"
"Attentive + relabling + ensemble","DeepNN","1","AI","Attentive + relabling + ensemble"
"AIA","DeepNN","1","AI","AIA"
"AS Reader (ensemble model)","DeepNN","1","AI","AS Reader (ensemble model)"
"ReasoNet","DeepNN","1","AI","ReasoNet"
"AoA Reader","DeepNN","1","AI","AoA Reader"
"EpiReader","DeepNN","1","AI","EpiReader"
"Dynamic Entity Repres. + w2v","DeepNN","1","AI","Dynamic Entity Repres. + w2v"
"AttentiveReader + bilinear attention","DeepNN","1","AI","AttentiveReader + bilinear attention"
"AS Reader (single model)","DeepNN","1","AI","AS Reader (single model)"
"MemNNs (ensemble)","DeepNN","1","AI","MemNNs (ensemble)"
"Classifier","DeepNN","1","AI","Classifier"
"Impatient Reader","DeepNN","1","AI","Impatient Reader"
"Attentive Reader","DeepNN","1","AI","Attentive Reader"
"IR Baseline","DeepNN","1","AI","IR Baseline"
"Our Approach wo IR","DeepNN","1","AI","Our Approach wo IR"
"IR++","DeepNN","1","AI","IR++"
"OUR APPROACH","DeepNN","1","AI","OUR APPROACH"
"WebQA","DeepNN","1","AI","WebQA"
"NSE","DeepNN","1","AI","NSE"
"GA + feature + fix L(w)","DeepNN","1","AI","GA + feature + fix L(w)"
"AoA reader","DeepNN","1","AI","AoA reader"
"GA reader","DeepNN","1","AI","GA reader"
"AS reader (avg)","DeepNN","1","AI","AS reader (avg)"
"AS reader (greedy)","DeepNN","1","AI","AS reader (greedy)"
"ConZNet","DeepNN","1","AI","ConZNet"
"BiAttention + DCU-LSTM","DeepNN","1","AI","BiAttention + DCU-LSTM"
"PWIM","DeepNN","1","AI","PWIM"
"Key-Value Memory Network","DeepNN","1","AI","Key-Value Memory Network"
"LDC","DeepNN","1","AI","LDC"
"PairwiseRank +  Multi-Perspective CNN","DeepNN","1","AI","PairwiseRank +  Multi-Perspective CNN"
"MMA-NSE attention","DeepNN","1","AI","MMA-NSE attention"
"BiAttention MRU","DeepNN","1","AI","BiAttention MRU"
"MINIMAL(Dyn)","DeepNN","1","AI","MINIMAL(Dyn)"
"MultiObjectiveOptimization","DeepNN","1","AI","MultiObjectiveOptimization"
"MGDA-UB","DeepNN","1","AI","MGDA-UB"
"LFB NL","DeepNN","1","AI","LFB NL"
"NL I3D + GCN + Resnet-101","DeepNN","1","AI","NL I3D + GCN + Resnet-101"
"CoViAR+optical flow","DeepNN","1","AI","CoViAR+optical flow"
"MultiScale TRN","DeepNN","1","AI","MultiScale TRN"
"ESPCN","DeepNN","1","AI","ESPCN"
"SRCNN","DeepNN","1","AI","SRCNN"
"bicubic","DeepNN","1","AI","bicubic"
"FRVSR","DeepNN","1","AI","FRVSR"
"SOF-VSR","DeepNN","1","AI","SOF-VSR"
"VESPCN","DeepNN","1","AI","VESPCN"
"SiamMask","DeepNN","1","AI","SiamMask"
"Parameter-Free Spatial Attention","DeepNN","1","AI","Parameter-Free Spatial Attention"
"MGN","DeepNN","1","AI","MGN"
"PCB (RPP)","DeepNN","1","AI","PCB (RPP)"
"PCB (UP)","DeepNN","1","AI","PCB (UP)"
"SVDNet + Random Erasing","DeepNN","1","AI","SVDNet + Random Erasing"
"Incremental Learning","DeepNN","1","AI","Incremental Learning"
"IDE* + CamStyle + Random Erasing","DeepNN","1","AI","IDE* + CamStyle + Random Erasing"
"SVDNet","DeepNN","1","AI","SVDNet"
"TriNet + Random Erasing","DeepNN","1","AI","TriNet + Random Erasing"
"TriNet","DeepNN","1","AI","TriNet"
"IDE* + CamStyle","DeepNN","1","AI","IDE* + CamStyle"
"APR","DeepNN","1","AI","APR"
"IDE*","DeepNN","1","AI","IDE*"
"PAN","DeepNN","1","AI","PAN"
"OIM","DeepNN","1","AI","OIM"
"IDE","DeepNN","1","AI","IDE"
"LOMO + XQDA","DeepNN","1","AI","LOMO + XQDA"
"BOW","DeepNN","1","AI","BOW"
"PCB + RPP","DeepNN","1","AI","PCB + RPP"
"PCB","DeepNN","1","AI","PCB"
"GLAD*","DeepNN","1","AI","GLAD*"
"PartLoss","DeepNN","1","AI","PartLoss"
"SSM","DeepNN","1","AI","SSM"
"DJL","DeepNN","1","AI","DJL"
"Re-rank","DeepNN","1","AI","Re-rank"
"PDF","DeepNN","1","AI","PDF"
"DF","DeepNN","1","AI","DF"
"DLCE","DeepNN","1","AI","DLCE"
"MSCAN","DeepNN","1","AI","MSCAN"
"DNS","DeepNN","1","AI","DNS"
"StackGAN-v2","DeepNN","1","AI","StackGAN-v2"
"StackGAN-v1 ","DeepNN","1","AI","StackGAN-v1 "
"AttnGAN","DeepNN","1","AI","AttnGAN"
"AttnGAN + OP","DeepNN","1","AI","AttnGAN + OP"
"StackGAN + OP","DeepNN","1","AI","StackGAN + OP"
"GAWWN","DeepNN","1","AI","GAWWN"
"AttnGAN+OP","DeepNN","1","AI","AttnGAN+OP"
"StackGAN+OP","DeepNN","1","AI","StackGAN+OP"
"BigGAN-deep","DeepNN","1","AI","BigGAN-deep"
"BigGAN","DeepNN","1","AI","BigGAN"
"Self-attention","DeepNN","1","AI","Self-attention"
"Projection Discriminator","DeepNN","1","AI","Projection Discriminator"
"AC-GAN","DeepNN","1","AI","AC-GAN"
"Splitting GAN","DeepNN","1","AI","Splitting GAN"
"WGAN-GP","DeepNN","1","AI","WGAN-GP"
"SGAN","DeepNN","1","AI","SGAN"
"Improved GAN","DeepNN","1","AI","Improved GAN"
"DCGAN","DeepNN","1","AI","DCGAN"
"SteinGAN","DeepNN","1","AI","SteinGAN"
"MUNIT","DeepNN","1","AI","MUNIT"
"UNIT","DeepNN","1","AI","UNIT"
"CycleGAN","DeepNN","1","AI","CycleGAN"
"BicycleGAN","DeepNN","1","AI","BicycleGAN"
"Domain adaptation + ResNet-101","DeepNN","1","AI","Domain adaptation + ResNet-101"
"Single-level Adaptation","DeepNN","1","AI","Single-level Adaptation"
"CyCADA pixel+feat","DeepNN","1","AI","CyCADA pixel+feat"
"ROAD","DeepNN","1","AI","ROAD"
"superpixel + color constancy","DeepNN","1","AI","superpixel + color constancy"
"CDA","DeepNN","1","AI","CDA"
"FCNs in the wild","DeepNN","1","AI","FCNs in the wild"
"DTN","DeepNN","1","AI","DTN"
"ADDA","DeepNN","1","AI","ADDA"
"CyCADA","DeepNN","1","AI","CyCADA"
"StarGAN","DeepNN","1","AI","StarGAN"
"DIA","DeepNN","1","AI","DIA"
"IcGAN","DeepNN","1","AI","IcGAN"
"cGAN","DeepNN","1","AI","cGAN"
"DualGAN","DeepNN","1","AI","DualGAN"
"pix2pix","DeepNN","1","AI","pix2pix"
"CoGAN","DeepNN","1","AI","CoGAN"
"SimGAN","DeepNN","1","AI","SimGAN"
"BiGAN","DeepNN","1","AI","BiGAN"
"SPADE","DeepNN","1","AI","SPADE"
"pix2pixHD","DeepNN","1","AI","pix2pixHD"
"CRN","DeepNN","1","AI","CRN"
"SIMS","DeepNN","1","AI","SIMS"
"PGGAN","DeepNN","1","AI","PGGAN"
"MMD-GAN-rep","DeepNN","1","AI","MMD-GAN-rep"
"SN-GANs","DeepNN","1","AI","SN-GANs"
"MSG-GAN","DeepNN","1","AI","MSG-GAN"
"SN-SMMDGAN","DeepNN","1","AI","SN-SMMDGAN"
"LR-GAN","DeepNN","1","AI","LR-GAN"
"CEGAN-Ent-VI","DeepNN","1","AI","CEGAN-Ent-VI"
"GMAN","DeepNN","1","AI","GMAN"
"BEGAN","DeepNN","1","AI","BEGAN"
"ALI","DeepNN","1","AI","ALI"
"NICE","DeepNN","1","AI","NICE"
"DRAW","DeepNN","1","AI","DRAW"
"Real NVP","DeepNN","1","AI","Real NVP"
"VAE with IAF","DeepNN","1","AI","VAE with IAF"
"PixelRNN","DeepNN","1","AI","PixelRNN"
"PixelCNN++","DeepNN","1","AI","PixelCNN++"
"Image Transformer","DeepNN","1","AI","Image Transformer"
"WGAN-GP + TT Update Rule","DeepNN","1","AI","WGAN-GP + TT Update Rule"
"RSGAN-GP","DeepNN","1","AI","RSGAN-GP"
"FOGAN","DeepNN","1","AI","FOGAN"
"MSGAN","DeepNN","1","AI","MSGAN"
"COCO-GAN","DeepNN","1","AI","COCO-GAN"
"RaSGAN","DeepNN","1","AI","RaSGAN"
"StyleGAN","DeepNN","1","AI","StyleGAN"
"CRIM","DeepNN","1","AI","CRIM"
"MFH","DeepNN","1","AI","MFH"
"300-sparsans","DeepNN","1","AI","300-sparsans"
"vTE","DeepNN","1","AI","vTE"
"EXPR","DeepNN","1","AI","EXPR"
"SJTU BCMI","DeepNN","1","AI","SJTU BCMI"
"ADAPT","DeepNN","1","AI","ADAPT"
"balAPInc","DeepNN","1","AI","balAPInc"
"NLP_HZ","DeepNN","1","AI","NLP_HZ"
"Apollo","DeepNN","1","AI","Apollo"
"CRF-ASN","DeepNN","1","AI","CRF-ASN"
"Bi-LSTM-CRF","DeepNN","1","AI","Bi-LSTM-CRF"
"RNN with 3 utterances in context","DeepNN","1","AI","RNN with 3 utterances in context"
"RNN","DeepNN","1","AI","RNN"
"Neural belief tracker","DeepNN","1","AI","Neural belief tracker"
"Zhong et al.","DeepNN","1","AI","Zhong et al."
"GATE","DeepNN","1","AI","GATE"
"Adversarial Bi-LSTM","DeepNN","1","AI","Adversarial Bi-LSTM"
"Joint Bi-LSTM","DeepNN","1","AI","Joint Bi-LSTM"
"Meta BiLSTM","DeepNN","1","AI","Meta BiLSTM"
"Char Bi-LSTM","DeepNN","1","AI","Char Bi-LSTM"
"Feed Forward","DeepNN","1","AI","Feed Forward"
"Deep Speech 2","DeepNN","1","AI","Deep Speech 2"
"Deep Speech","DeepNN","1","AI","Deep Speech"
"HMM-TDNN(LFMMI) + LSTMLM + NN-GEV","DeepNN","1","AI","HMM-TDNN(LFMMI) + LSTMLM + NN-GEV"
"CNN + Bi-RNN + CTC (speech to letters)","DeepNN","1","AI","CNN + Bi-RNN + CTC (speech to letters)"
"HMM-TDNN(LFMMI) + LSTMLM ","DeepNN","1","AI","HMM-TDNN(LFMMI) + LSTMLM "
"Li-GRU","DeepNN","1","AI","Li-GRU"
"tdnn + chain + rnnlm rescoring","DeepNN","1","AI","tdnn + chain + rnnlm rescoring"
"TDNN + pNorm + speed updown speech","DeepNN","1","AI","TDNN + pNorm + speed updown speech"
"HMM-DNN + pNorm*","DeepNN","1","AI","HMM-DNN + pNorm*"
"Snips","DeepNN","1","AI","Snips"
"HMM-(SAT)GMM","DeepNN","1","AI","HMM-(SAT)GMM"
"ResNet + BiLSTMs acoustic model","DeepNN","1","AI","ResNet + BiLSTMs acoustic model"
"Microsoft 2016b","DeepNN","1","AI","Microsoft 2016b"
"Microsoft 2016","DeepNN","1","AI","Microsoft 2016"
"VGGResnetLACEBiLSTM acoustic model trained on SWB+Fisher+CH, N-gram + RNNLM language model trained on Switchboard+Fisher+Gigaword+Broadcast","DeepNN","1","AI","VGGResnetLACEBiLSTM acoustic model trained on SWB+Fisher+CH, N-gram + RNNLM language model trained on Switchboard+Fisher+Gigaword+Broadcast"
"RNN + VGG + LSTM acoustic model trained on SWB+Fisher+CH, N-gram + model M + NNLM language model","DeepNN","1","AI","RNN + VGG + LSTM acoustic model trained on SWB+Fisher+CH, N-gram + model M + NNLM language model"
"CNN-LSTM","DeepNN","1","AI","CNN-LSTM"
"IBM 2016","DeepNN","1","AI","IBM 2016"
"RNNLM","DeepNN","1","AI","RNNLM"
"IBM 2015","DeepNN","1","AI","IBM 2015"
"HMM-BLSTM trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher","DeepNN","1","AI","HMM-BLSTM trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher"
"HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher (10%  15.1% respectively trained on SWBD only)","DeepNN","1","AI","HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher (10%  15.1% respectively trained on SWBD only)"
"CNN on MFSCfbanks + 1 non-conv layer for FMLLRI-Vectors concatenated in a DNN","DeepNN","1","AI","CNN on MFSCfbanks + 1 non-conv layer for FMLLRI-Vectors concatenated in a DNN"
"HMM-TDNN + iVectors","DeepNN","1","AI","HMM-TDNN + iVectors"
"Deep CNN (10 conv, 4 FC layers), multi-scale feature maps","DeepNN","1","AI","Deep CNN (10 conv, 4 FC layers), multi-scale feature maps"
"HMM-DNN +sMBR","DeepNN","1","AI","HMM-DNN +sMBR"
"DNN sMBR","DeepNN","1","AI","DNN sMBR"
"Deep Speech + FSH","DeepNN","1","AI","Deep Speech + FSH"
"CNN + Bi-RNN + CTC (speech to letters), 25.9% WER if trainedonlyon SWB","DeepNN","1","AI","CNN + Bi-RNN + CTC (speech to letters), 25.9% WER if trainedonlyon SWB"
"DNN MMI","DeepNN","1","AI","DNN MMI"
"DNN MPE","DeepNN","1","AI","DNN MPE"
"DNN BMMI","DeepNN","1","AI","DNN BMMI"
"HMM-TDNN + pNorm + speed updown speech","DeepNN","1","AI","HMM-TDNN + pNorm + speed updown speech"
"DNN + Dropout","DeepNN","1","AI","DNN + Dropout"
"DNN","DeepNN","1","AI","DNN"
"CD-DNN","DeepNN","1","AI","CD-DNN"
"DNN-HMM","DeepNN","1","AI","DNN-HMM"
"LiGRU + Dropout + BatchNorm + Monophone Reg","DeepNN","1","AI","LiGRU + Dropout + BatchNorm + Monophone Reg"
"LSTM + Dropout + BatchNorm + Monophone Reg","DeepNN","1","AI","LSTM + Dropout + BatchNorm + Monophone Reg"
"Li-GRU + fMLLR features","DeepNN","1","AI","Li-GRU + fMLLR features"
"GRU + Dropout + BatchNorm + Monophone Reg","DeepNN","1","AI","GRU + Dropout + BatchNorm + Monophone Reg"
"RNN + Dropout + BatchNorm + Monophone Reg","DeepNN","1","AI","RNN + Dropout + BatchNorm + Monophone Reg"
"Hierarchical maxout CNN + Dropout","DeepNN","1","AI","Hierarchical maxout CNN + Dropout"
"GRU","DeepNN","1","AI","GRU"
"CNN in time and frequency + dropout, 17.6% wo dropout","DeepNN","1","AI","CNN in time and frequency + dropout, 17.6% wo dropout"
"Light Gated Recurrent Units","DeepNN","1","AI","Light Gated Recurrent Units"
"RNN-CRF on 24(x3) MFSC","DeepNN","1","AI","RNN-CRF on 24(x3) MFSC"
"Bi-RNN + Attention","DeepNN","1","AI","Bi-RNN + Attention"
"Bi-LSTM + skip connections w CTC","DeepNN","1","AI","Bi-LSTM + skip connections w CTC"
"QCNN-10L-256FM","DeepNN","1","AI","QCNN-10L-256FM"
"Soft Monotonic Attention (ours, offline)","DeepNN","1","AI","Soft Monotonic Attention (ours, offline)"
"(first, modern) HMM-DBN","DeepNN","1","AI","(first, modern) HMM-DBN"
"HMM-BLSTMtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD","DeepNN","1","AI","HMM-BLSTMtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD"
"HMM-TDNNtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD","DeepNN","1","AI","HMM-TDNNtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD"
"tdnn + chain","DeepNN","1","AI","tdnn + chain"
"End-to-end LF-MMI","DeepNN","1","AI","End-to-end LF-MMI"
"TC-DNN-BLSTM-DNN","DeepNN","1","AI","TC-DNN-BLSTM-DNN"
"test-set on open vocabulary (i.e. harder), model = HMM-DNN + pNorm*","DeepNN","1","AI","test-set on open vocabulary (i.e. harder), model = HMM-DNN + pNorm*"
"CNN over RAW speech (wav)","DeepNN","1","AI","CNN over RAW speech (wav)"
"VoiceFilter: bi-LSTM","DeepNN","1","AI","VoiceFilter: bi-LSTM"
"Seq-to-seq attention","DeepNN","1","AI","Seq-to-seq attention"
"HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations","DeepNN","1","AI","HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations"
"Gated ConvNets","DeepNN","1","AI","Gated ConvNets"
"CTC + policy learning","DeepNN","1","AI","CTC + policy learning"
"chain + tdnn + rnnlm rescoring, https:github.comkaldi-asrkaldiblobmasteregslibrispeechs5localrnnlmtuningrun_tdnn_lstm_1a.sh","DeepNN","1","AI","chain + tdnn + rnnlm rescoring, https:github.comkaldi-asrkaldiblobmasteregslibrispeechs5localrnnlmtuningrun_tdnn_lstm_1a.sh"
"Residual net + Pseudo Sketch Feature Loss + LSGAN","DeepNN","1","AI","Residual net + Pseudo Sketch Feature Loss + LSGAN"
"PS2-MAN","DeepNN","1","AI","PS2-MAN"
"HP-net","DeepNN","1","AI","HP-net"
"MicronNet (fp16)","DeepNN","1","AI","MicronNet (fp16)"
"Hierarchical + Background Threshold Model","DeepNN","1","AI","Hierarchical + Background Threshold Model"
"Hierarchical Model","DeepNN","1","AI","Hierarchical Model"
"Background Threshold Model","DeepNN","1","AI","Background Threshold Model"
"VPGNet","DeepNN","1","AI","VPGNet"
"Overfeat CNN detector + DBSCAN","DeepNN","1","AI","Overfeat CNN detector + DBSCAN"
"Spatial CNN","DeepNN","1","AI","Spatial CNN"
"Pairwise pixel supervision + FCN","DeepNN","1","AI","Pairwise pixel supervision + FCN"
"LaneNet","DeepNN","1","AI","LaneNet"
"Discriminative loss function","DeepNN","1","AI","Discriminative loss function"
"SDS-RCNN","DeepNN","1","AI","SDS-RCNN"
"F-DNN+SS","DeepNN","1","AI","F-DNN+SS"
"SA-FastRCNN","DeepNN","1","AI","SA-FastRCNN"
"MS-CNN","DeepNN","1","AI","MS-CNN"
"CompACT-Deep","DeepNN","1","AI","CompACT-Deep"
"Part-level CNN + saliency and bounding box alignment","DeepNN","1","AI","Part-level CNN + saliency and bounding box alignment"
"Checkerboards+","DeepNN","1","AI","Checkerboards+"
"TA-CNN","DeepNN","1","AI","TA-CNN"
"LDCF","DeepNN","1","AI","LDCF"
"CNN features + Bayesian ridge regression","DeepNN","1","AI","CNN features + Bayesian ridge regression"
"Combined Features + Gaussian Reg","DeepNN","1","AI","Combined Features + Gaussian Reg"
"Multi-View","DeepNN","1","AI","Multi-View"
"Baseline","DeepNN","1","AI","Baseline"
"GFA-CNN","DeepNN","1","AI","GFA-CNN"
"Color LBP","DeepNN","1","AI","Color LBP"
"DLDL+VGG-Face","DeepNN","1","AI","DLDL+VGG-Face"
"CMAAE-OR","DeepNN","1","AI","CMAAE-OR"
"CORAL","DeepNN","1","AI","CORAL"
"SAN GT","DeepNN","1","AI","SAN GT"
"Pose-Invariant","DeepNN","1","AI","Pose-Invariant"
"FPN","DeepNN","1","AI","FPN"
"PRN","DeepNN","1","AI","PRN"
"VRN-Guided","DeepNN","1","AI","VRN-Guided"
"GANFit","DeepNN","1","AI","GANFit"
"Unsupervised-3DMMR","DeepNN","1","AI","Unsupervised-3DMMR"
"itwmm","DeepNN","1","AI","itwmm"
"3DMM-CNN","DeepNN","1","AI","3DMM-CNN"
"DeFA","DeepNN","1","AI","DeFA"
"Deep Residual Equivariant Mapping","DeepNN","1","AI","Deep Residual Equivariant Mapping"
"ArcFace + MS1MV2 + R100 + R","DeepNN","1","AI","ArcFace + MS1MV2 + R100 + R"
"CosFace","DeepNN","1","AI","CosFace"
"SphereFace (3-patch ensemble)","DeepNN","1","AI","SphereFace (3-patch ensemble)"
"Light CNN-29","DeepNN","1","AI","Light CNN-29"
"SphereFace (single model)","DeepNN","1","AI","SphereFace (single model)"
"FaceNet","DeepNN","1","AI","FaceNet"
"Deep CNN","DeepNN","1","AI","Deep CNN"
"Covariance Pooling","DeepNN","1","AI","Covariance Pooling"
"Sequential forward selection","DeepNN","1","AI","Sequential forward selection"
"DeXpression","DeepNN","1","AI","DeXpression"
"DAN-Menpo + bounding box diagonal normalization","DeepNN","1","AI","DAN-Menpo + bounding box diagonal normalization"
"SIR-LAN","DeepNN","1","AI","SIR-LAN"
"DAN-Menpo + inter-ocular normalization","DeepNN","1","AI","DAN-Menpo + inter-ocular normalization"
"LAB + Oracle + Inter-ocular Normalisation","DeepNN","1","AI","LAB + Oracle + Inter-ocular Normalisation"
"2DASL","DeepNN","1","AI","2DASL"
"3DSTN","DeepNN","1","AI","3DSTN"
"3DDFA + SDM","DeepNN","1","AI","3DDFA + SDM"
"Nonlinear 3D Face Morphable Model","DeepNN","1","AI","Nonlinear 3D Face Morphable Model"
"MCL","DeepNN","1","AI","MCL"
"DisguiseNet","DeepNN","1","AI","DisguiseNet"
"VGG-Face model features + cosine similarity metric","DeepNN","1","AI","VGG-Face model features + cosine similarity metric"
"Dual-Agent GANs","DeepNN","1","AI","Dual-Agent GANs"
"L2-constrained softmax loss","DeepNN","1","AI","L2-constrained softmax loss"
"Template adaptation","DeepNN","1","AI","Template adaptation"
"All-in-one CNN","DeepNN","1","AI","All-in-one CNN"
"Triplet probabilistic embedding","DeepNN","1","AI","Triplet probabilistic embedding"
"Synthesis as data augmentation","DeepNN","1","AI","Synthesis as data augmentation"
"Deep multi-pose representations","DeepNN","1","AI","Deep multi-pose representations"
"Deep CNN + COTS matcher","DeepNN","1","AI","Deep CNN + COTS matcher"
"AIM","DeepNN","1","AI","AIM"
"MN-vc","DeepNN","1","AI","MN-vc"
"SeqFace, 1 ResNet-64","DeepNN","1","AI","SeqFace, 1 ResNet-64"
"ArcFace + MS1MV2 + R100, ","DeepNN","1","AI","ArcFace + MS1MV2 + R100, "
"QAN","DeepNN","1","AI","QAN"
"Git Loss","DeepNN","1","AI","Git Loss"
"SphereFace","DeepNN","1","AI","SphereFace"
"DeepId2+","DeepNN","1","AI","DeepId2+"
"3DMM face shape parameters + CNN","DeepNN","1","AI","3DMM face shape parameters + CNN"
"Ring loss","DeepNN","1","AI","Ring loss"
"DeepId2","DeepNN","1","AI","DeepId2"
"SeqFace","DeepNN","1","AI","SeqFace"
"GaussianFace","DeepNN","1","AI","GaussianFace"
"FAN","DeepNN","1","AI","FAN"
"AOFD","DeepNN","1","AI","AOFD"
"SRN","DeepNN","1","AI","SRN"
