"task","task_is","weight","hierarchy_belongs","source","Description"
"Quora Question Pairs","Natural Language Inference","1","Natural Language Processing","paperswithcode","Natural language inference is the task of determining whether a hypothesis is 
true (entailment), false (contradiction), or undetermined (neutral) given a premise.

Example:

| Premise | Label | Hypothesis |
| --- | ---| --- |
| A man inspects the uniform of a figure in some East Asian country. | contradiction | The man is sleeping. |
| An older and younger man smiling. | neutral  | Two men are smiling and laughing at the cats playing on the floor. |
| A soccer game with multiple males playing. | e"
"V-SNLI","Natural Language Inference","1","Natural Language Processing","paperswithcode","Natural language inference is the task of determining whether a hypothesis is 
true (entailment), false (contradiction), or undetermined (neutral) given a premise.

Example:

| Premise | Label | Hypothesis |
| --- | ---| --- |
| A man inspects the uniform of a figure in some East Asian country. | contradiction | The man is sleeping. |
| An older and younger man smiling. | neutral  | Two men are smiling and laughing at the cats playing on the floor. |
| A soccer game with multiple males playing. | e"
"SNLI","Natural Language Inference","1","Natural Language Processing","paperswithcode","Natural language inference is the task of determining whether a hypothesis is 
true (entailment), false (contradiction), or undetermined (neutral) given a premise.

Example:

| Premise | Label | Hypothesis |
| --- | ---| --- |
| A man inspects the uniform of a figure in some East Asian country. | contradiction | The man is sleeping. |
| An older and younger man smiling. | neutral  | Two men are smiling and laughing at the cats playing on the floor. |
| A soccer game with multiple males playing. | e"
"BPI challenge 12","Multivariate Time Series Forecasting","1","Time Series","paperswithcode",""
"Helpdesk","Multivariate Time Series Forecasting","1","Time Series","paperswithcode",""
"COCO Visual Question Answering (VQA) real images 2.0 open ended","Visual Question Answering","1","Computer Vision","paperswithcode",""
"Visual7W","Visual Question Answering","1","Computer Vision","paperswithcode",""
"COCO Visual Question Answering (VQA) real images 1.0 multiple choice","Visual Question Answering","1","Computer Vision","paperswithcode",""
"Visual Genome (subjects)","Visual Question Answering","1","Computer Vision","paperswithcode",""
"Visual Genome (pairs)","Visual Question Answering","1","Computer Vision","paperswithcode",""
"COCO Visual Question Answering (VQA) abstract images 1.0 open ended","Visual Question Answering","1","Computer Vision","paperswithcode",""
"COCO Visual Question Answering (VQA) abstract 1.0 multiple choice","Visual Question Answering","1","Computer Vision","paperswithcode",""
"COCO Visual Question Answering (VQA) real images 1.0 open ended","Visual Question Answering","1","Computer Vision","paperswithcode",""
"Quasar","Open-Domain Question Answering","1","Computer Vision","paperswithcode","Open-domain question answering is the task of question answering on open-domain datasets such as Wikipedia."
"SearchQA","Open-Domain Question Answering","1","Computer Vision","paperswithcode","Open-domain question answering is the task of question answering on open-domain datasets such as Wikipedia."
"TrecQA","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"CliCR","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"SimpleQuestions","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"SQuAD1.1","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"MCTest-160","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"Natural Questions","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"WikiHop","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"bAbi","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"SemEvalCQA","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"QASent","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"CoQA","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"YahooCQA","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"MS MARCO","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"MCTest-500","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"Story Cloze Test","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"WebQuestions","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"SQuAD2.0","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"TriviaQA","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"Quora Question Pairs","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"CNN  Daily Mail","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"QuAC","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"Reverb","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"AI2 Kaggle Dataset","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"COMPLEXQUESTIONS","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"Childrens Book Test","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"NarrativeQA","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"WikiQA","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"RACE","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"NewsQA","Question Answering","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"Cityscapes","Multi-Task Learning","1","Methodology","paperswithcode","Multi-task learning aims to learn multiple different tasks simultaneously while maximizing
performance on one or all of the tasks."
"CelebA","Multi-Task Learning","1","Methodology","paperswithcode","Multi-task learning aims to learn multiple different tasks simultaneously while maximizing
performance on one or all of the tasks."
"Charades","Action Recognition In Videos","1","Computer Vision","paperswithcode",""
"Xiph HD - 4x upscaling","Video Super-Resolution","1","Computer Vision","paperswithcode","Video super-resolution is the task of upscaling a video from a low-resolution to a high-resolution."
"Vid4 - 4x upscaling","Video Super-Resolution","1","Computer Vision","paperswithcode","Video super-resolution is the task of upscaling a video from a low-resolution to a high-resolution."
"Ultra Video Group HD - 4x upscaling","Video Super-Resolution","1","Computer Vision","paperswithcode","Video super-resolution is the task of upscaling a video from a low-resolution to a high-resolution."
"VOT201718","Visual Object Tracking","1","Computer Vision","paperswithcode",""
"DukeMTMC-reID","Person Re-Identification","1","Computer Vision","paperswithcode","Person re-identification is the task of associating images of the same person taken from different cameras or from the same camera in different occasions."
"Market-1501","Person Re-Identification","1","Computer Vision","paperswithcode","Person re-identification is the task of associating images of the same person taken from different cameras or from the same camera in different occasions."
"Oxford 102 Flowers","Text-to-Image Generation","1","Computer Vision","paperswithcode","Text-to-image generation is the task of generating images from text descriptions or captions."
"COCO","Text-to-Image Generation","1","Computer Vision","paperswithcode","Text-to-image generation is the task of generating images from text descriptions or captions."
"CUB","Text-to-Image Generation","1","Computer Vision","paperswithcode","Text-to-image generation is the task of generating images from text descriptions or captions."
"MS-COCO","Text-to-Image Generation","1","Computer Vision","paperswithcode","Text-to-image generation is the task of generating images from text descriptions or captions."
"ImageNet 128x128","Conditional Image Generation","1","Computer Vision","paperswithcode","Conditional image generation is the task of generating new images from a dataset conditional on their class."
"CIFAR-10","Conditional Image Generation","1","Computer Vision","paperswithcode","Conditional image generation is the task of generating new images from a dataset conditional on their class."
"Cats-and-Dogs","Multimodal Unsupervised Image-To-Image Translation","1","Computer Vision","paperswithcode","Multimodal unsupervised image-to-image translation is the task of producing multiple translations to one domain from a single image in another domain."
"Edge-to-Handbags","Multimodal Unsupervised Image-To-Image Translation","1","Computer Vision","paperswithcode","Multimodal unsupervised image-to-image translation is the task of producing multiple translations to one domain from a single image in another domain."
"Edge-to-Shoes","Multimodal Unsupervised Image-To-Image Translation","1","Computer Vision","paperswithcode","Multimodal unsupervised image-to-image translation is the task of producing multiple translations to one domain from a single image in another domain."
"GTAV-to-Cityscapes Labels","Synthetic-to-Real Translation","1","Computer Vision","paperswithcode","Synthetic-to-real translation is the task of domain adaptation from synthetic (or virtual) data to real data."
"SVNH-to-MNIST","Unsupervised Image-To-Image Translation","1","Computer Vision","paperswithcode","Unsupervised image-to-image translation is the task of doing image-to-image translation without ground truth image-to-image pairings."
"SYNTHIA-to-Cityscapes","Image-to-Image Translation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"SYNTHIA Fall-to-Winter","Image-to-Image Translation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"RaFD","Image-to-Image Translation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"Aerial-to-Map","Image-to-Image Translation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"Cityscapes Labels-to-Photo","Image-to-Image Translation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"ADE20K-Outdoor Labels-to-Photos","Image-to-Image Translation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"Cityscapes Photo-to-Labels","Image-to-Image Translation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"COCO-Stuff Labels-to-Photos","Image-to-Image Translation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"ADE20K Labels-to-Photos","Image-to-Image Translation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"CIFAR-10","Image Generation","1","Computer Vision","paperswithcode","Image generation (synthesis) is the task of generating new images from an existing dataset."
"LSUN Bedroom 256 x 256","Image Generation","1","Computer Vision","paperswithcode","Image generation (synthesis) is the task of generating new images from an existing dataset."
"CAT 256x256","Image Generation","1","Computer Vision","paperswithcode","Image generation (synthesis) is the task of generating new images from an existing dataset."
"CelebA-HQ 1024x1024","Image Generation","1","Computer Vision","paperswithcode","Image generation (synthesis) is the task of generating new images from an existing dataset."
"FFHQ","Image Generation","1","Computer Vision","paperswithcode","Image generation (synthesis) is the task of generating new images from an existing dataset."
"CelebA","Image Generation","1","Computer Vision","paperswithcode","Image generation (synthesis) is the task of generating new images from an existing dataset."
"Medical domain","Hypernym Discovery","1","Natural Language Processing","paperswithcode","Given a corpus and a target term (hyponym), the task of hypernym discovery consists of extracting a set of its most appropriate hypernyms from the corpus. For example, for the input word “dog”, some valid hypernyms would be “canine”, “mammal” or “animal”."
"Music domain","Hypernym Discovery","1","Natural Language Processing","paperswithcode","Given a corpus and a target term (hyponym), the task of hypernym discovery consists of extracting a set of its most appropriate hypernyms from the corpus. For example, for the input word “dog”, some valid hypernyms would be “canine”, “mammal” or “animal”."
"General","Hypernym Discovery","1","Natural Language Processing","paperswithcode","Given a corpus and a target term (hyponym), the task of hypernym discovery consists of extracting a set of its most appropriate hypernyms from the corpus. For example, for the input word “dog”, some valid hypernyms would be “canine”, “mammal” or “animal”."
"ICSI Meeting Recorder Dialog Act (MRDA) corpus","Dialogue Act Classification","1","Computer Vision","paperswithcode","Dialogue act classification is the task of classifying an utterance with respect to the fuction it serves in a dialogue, i.e. the act the speaker is performing. Dialogue acts are a type of speech acts (for Speech Act Theory, see [Austin (1975)](http:www.hup.harvard.educatalog.php?isbn=9780674411524) and [Searle (1969)](https:www.cambridge.orgcorebooksspeech-actsD2D7B03E472C8A390ED60B86E08640E7))."
"Switchboard corpus","Dialogue Act Classification","1","Computer Vision","paperswithcode","Dialogue act classification is the task of classifying an utterance with respect to the fuction it serves in a dialogue, i.e. the act the speaker is performing. Dialogue acts are a type of speech acts (for Speech Act Theory, see [Austin (1975)](http:www.hup.harvard.educatalog.php?isbn=9780674411524) and [Searle (1969)](https:www.cambridge.orgcorebooksspeech-actsD2D7B03E472C8A390ED60B86E08640E7))."
"Second dialogue state tracking challenge","Dialogue State Tracking","1","Computer Vision","paperswithcode","Dialogue state tacking consists of determining at each turn of a dialogue the
full representation of what the user wants at that point in the dialogue,
which contains a goal constraint, a set of requested slots, and the users dialogue act."
"Wizard-of-Oz","Dialogue State Tracking","1","Computer Vision","paperswithcode","Dialogue state tacking consists of determining at each turn of a dialogue the
full representation of what the user wants at that point in the dialogue,
which contains a goal constraint, a set of requested slots, and the users dialogue act."
"Ubuntu Dialogue (Tense)","Dialogue Generation","1","Computer Vision","paperswithcode",""
"Ubuntu Dialogue (Cmd)","Dialogue Generation","1","Computer Vision","paperswithcode",""
"Twitter Dialogue (Noun)","Dialogue Generation","1","Computer Vision","paperswithcode",""
"Ubuntu Dialogue (Entity)","Dialogue Generation","1","Computer Vision","paperswithcode",""
"Twitter Dialogue (Tense)","Dialogue Generation","1","Computer Vision","paperswithcode",""
"Ubuntu Dialogue (Activity)","Dialogue Generation","1","Computer Vision","paperswithcode",""
"Social media","Part-Of-Speech Tagging","1","Natural Language Processing","paperswithcode","Part-of-speech tagging (POS tagging) is the task of tagging a word in a text with its part of speech.
A part of speech is a category of words with similar grammatical properties. Common English
parts of speech are noun, verb, adjective, adverb, pronoun, preposition, conjunction, etc.

Example: 

| Vinken | , | 61 | years | old |
| --- | ---| --- | --- | --- |
| NNP | , | CD | NNS | JJ |"
"UD","Part-Of-Speech Tagging","1","Natural Language Processing","paperswithcode","Part-of-speech tagging (POS tagging) is the task of tagging a word in a text with its part of speech.
A part of speech is a category of words with similar grammatical properties. Common English
parts of speech are noun, verb, adjective, adverb, pronoun, preposition, conjunction, etc.

Example: 

| Vinken | , | 61 | years | old |
| --- | ---| --- | --- | --- |
| NNP | , | CD | NNS | JJ |"
"Penn Treebank","Part-Of-Speech Tagging","1","Natural Language Processing","paperswithcode","Part-of-speech tagging (POS tagging) is the task of tagging a word in a text with its part of speech.
A part of speech is a category of words with similar grammatical properties. Common English
parts of speech are noun, verb, adjective, adverb, pronoun, preposition, conjunction, etc.

Example: 

| Vinken | , | 61 | years | old |
| --- | ---| --- | --- | --- |
| NNP | , | CD | NNS | JJ |"
"VoxForge Indian","Accented Speech Recognition","1","Speech","paperswithcode",""
"VoxForge Commonwealth","Accented Speech Recognition","1","Speech","paperswithcode",""
"VoxForge European","Accented Speech Recognition","1","Speech","paperswithcode",""
"VoxForge American-Canadian","Accented Speech Recognition","1","Speech","paperswithcode",""
"CHiME-4 real 6ch","Distant Speech Recognition","1","Speech","paperswithcode",""
"CHiME clean","Noisy Speech Recognition","1","Speech","paperswithcode",""
"CHiME real","Noisy Speech Recognition","1","Speech","paperswithcode",""
"LibriSpeech test-other","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"Switchboard + Hub500","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"swb_hub_500 WER fullSWBCH","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"TIMIT","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"fisher WER","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"WSJ eval92","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"Librispeech","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"LibriSpeech test-clean","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"WSJ eval93","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"Switchboard (300hr)","Speech Recognition","1","Speech","paperswithcode","Speech recognition is the task of recognising speech within audio and converting it into text."
"CUFSF","Face Sketch Synthesis","1","Computer Vision","paperswithcode","Face sketch synthesis is the task of generating a sketch from an input face photo."
"CUFS","Face Sketch Synthesis","1","Computer Vision","paperswithcode","Face sketch synthesis is the task of generating a sketch from an input face photo."
"CUHK","Face Sketch Synthesis","1","Computer Vision","paperswithcode","Face sketch synthesis is the task of generating a sketch from an input face photo."
"RAP","Pedestrian Attribute Recognition","1","Computer Vision","paperswithcode","Pedestrian attribution recognition is the task of recognising pedestrian features - such as whether they are talking on a phone, whether they have a backpack, and so on."
"PETA","Pedestrian Attribute Recognition","1","Computer Vision","paperswithcode","Pedestrian attribution recognition is the task of recognising pedestrian features - such as whether they are talking on a phone, whether they have a backpack, and so on."
"PA-100K","Pedestrian Attribute Recognition","1","Computer Vision","paperswithcode","Pedestrian attribution recognition is the task of recognising pedestrian features - such as whether they are talking on a phone, whether they have a backpack, and so on."
"GTSRB","Traffic Sign Recognition","1","Computer Vision","paperswithcode","Traffic sign recognition is the task of recognising traffic signs in an image or video."
"Bosch Small Traffic Lights","Traffic Sign Recognition","1","Computer Vision","paperswithcode","Traffic sign recognition is the task of recognising traffic signs in an image or video."
"Tsinghua-Tencent 100K","Traffic Sign Recognition","1","Computer Vision","paperswithcode","Traffic sign recognition is the task of recognising traffic signs in an image or video."
"Caltech Lanes Cordova","Lane Detection","1","Computer Vision","paperswithcode","Lane detection is the task of detecting lanes on a road from a camera."
"TuSimple","Lane Detection","1","Computer Vision","paperswithcode","Lane detection is the task of detecting lanes on a road from a camera."
"Caltech Lanes Washington","Lane Detection","1","Computer Vision","paperswithcode","Lane detection is the task of detecting lanes on a road from a camera."
"Caltech","Pedestrian Detection","1","Computer Vision","paperswithcode","Pedestrian detection is the task of detecting pedestrians from a camera.

Further state-of-the-art results (e.g. on the KITTI dataset) can be found at [3D Object Detection](https:paperswithcode.comtaskobject-detection)."
"SCUT-FBP","Facial Beauty Prediction","1","Computer Vision","paperswithcode","Facial beauty prediction is the task of predicting the attractiveness of a face."
"ECCV HotOrNot","Facial Beauty Prediction","1","Computer Vision","paperswithcode","Facial beauty prediction is the task of predicting the attractiveness of a face."
"BP4D","Facial Action Unit Detection","1","Computer Vision","paperswithcode","Facial action unit detection is the task of detecting action units from a video of a face - for example, lip tightening and cheek raising."
"MSU-MFSD","Face Anti-Spoofing","1","Computer Vision","paperswithcode","Facial anti-spoofing is the task of preventing false facial verification by using a photo, video, mask or a different substitute for an authorized person’s face. Some examples of attacks:

- **Print attack**: The attacker uses someone’s photo. The image is printed or displayed on a digital device.

- **Replayvideo attack**: A more sophisticated way to trick the system, which usually requires a looped video of a victim’s face. This approach ensures behaviour and facial movements to look more ‘natural’ co"
"ChaLearn 2015","Age Estimation","1","Computer Vision","paperswithcode","Age Estimation is the task of estimating the age of a person from an image."
"MORPH","Age Estimation","1","Computer Vision","paperswithcode","Age Estimation is the task of estimating the age of a person from an image."
"UTKFace","Age Estimation","1","Computer Vision","paperswithcode","Age Estimation is the task of estimating the age of a person from an image."
"MORPH Album2","Age Estimation","1","Computer Vision","paperswithcode","Age Estimation is the task of estimating the age of a person from an image."
"FGNET","Age Estimation","1","Computer Vision","paperswithcode","Age Estimation is the task of estimating the age of a person from an image."
"AFAD","Age Estimation","1","Computer Vision","paperswithcode","Age Estimation is the task of estimating the age of a person from an image."
"CACD","Age Estimation","1","Computer Vision","paperswithcode","Age Estimation is the task of estimating the age of a person from an image."
"300W","Facial Landmark Detection","1","Computer Vision","paperswithcode","Facial landmark detection is the task of detecting key landmarks on the face and tracking them (being robust to rigid and non-rigid facial deformations due to head movements and facial expressions)."
"AFLW-Front","Facial Landmark Detection","1","Computer Vision","paperswithcode","Facial landmark detection is the task of detecting key landmarks on the face and tracking them (being robust to rigid and non-rigid facial deformations due to head movements and facial expressions)."
"AFLW-Full","Facial Landmark Detection","1","Computer Vision","paperswithcode","Facial landmark detection is the task of detecting key landmarks on the face and tracking them (being robust to rigid and non-rigid facial deformations due to head movements and facial expressions)."
"Florence","3D Face Reconstruction","1","Computer Vision","paperswithcode","3D face reconstruction is the task of reconstructing a face from an image into a 3D form (or mesh)."
"AFLW2000-3D","3D Face Reconstruction","1","Computer Vision","paperswithcode","3D face reconstruction is the task of reconstructing a face from an image into a 3D form (or mesh)."
"IJB-B","Face Identification","1","Computer Vision","paperswithcode","Face identification is the task of matching a given face image to one in an existing database of faces. It is the second part of face recognition (the first part being detection). It is a one-to-many mapping: you have to find an unknown person in a database to find who that person is."
"IJB-A","Face Identification","1","Computer Vision","paperswithcode","Face identification is the task of matching a given face image to one in an existing database of faces. It is the second part of face recognition (the first part being detection). It is a one-to-many mapping: you have to find an unknown person in a database to find who that person is."
"MegaFace","Face Identification","1","Computer Vision","paperswithcode","Face identification is the task of matching a given face image to one in an existing database of faces. It is the second part of face recognition (the first part being detection). It is a one-to-many mapping: you have to find an unknown person in a database to find who that person is."
"DISFA","Smile Recognition","1","Computer Vision","paperswithcode","Smile recognition is the task of recognising a smiling face in a photo or video."
" Static Facial Expressions in the Wild","Facial Expression Recognition","1","Computer Vision","paperswithcode","Facial expression recognition is the task of classifying the expressions on face images into various categories such as anger, fear, surprise, sadness, happiness and so on."
"Cohn-Kanade","Facial Expression Recognition","1","Computer Vision","paperswithcode","Facial expression recognition is the task of classifying the expressions on face images into various categories such as anger, fear, surprise, sadness, happiness and so on."
"Real-World Affective Faces","Facial Expression Recognition","1","Computer Vision","paperswithcode","Facial expression recognition is the task of classifying the expressions on face images into various categories such as anger, fear, surprise, sadness, happiness and so on."
"MMI","Facial Expression Recognition","1","Computer Vision","paperswithcode","Facial expression recognition is the task of classifying the expressions on face images into various categories such as anger, fear, surprise, sadness, happiness and so on."
"300W","Face Alignment","1","Computer Vision","paperswithcode","Face alignment is the task of identifying the geometric structure of faces in digital images, and attempting to obtain a canonical alignment of the face based on translation, scale, and rotation."
"AFLW2000-3D","Face Alignment","1","Computer Vision","paperswithcode","Face alignment is the task of identifying the geometric structure of faces in digital images, and attempting to obtain a canonical alignment of the face based on translation, scale, and rotation."
"AFLW-LFPA","Face Alignment","1","Computer Vision","paperswithcode","Face alignment is the task of identifying the geometric structure of faces in digital images, and attempting to obtain a canonical alignment of the face based on translation, scale, and rotation."
"AFLW2000","Face Alignment","1","Computer Vision","paperswithcode","Face alignment is the task of identifying the geometric structure of faces in digital images, and attempting to obtain a canonical alignment of the face based on translation, scale, and rotation."
"Disguised Faces in the Wild","Disguised Face Verification","1","Computer Vision","paperswithcode",""
"IJB-A","Face Verification","1","Computer Vision","paperswithcode","Face verification is the task of comparing a candidate face to another, and verifying whether it is a match. It is a one-to-one mapping: you have to check if this person is the correct one."
"MegaFace","Face Verification","1","Computer Vision","paperswithcode","Face verification is the task of comparing a candidate face to another, and verifying whether it is a match. It is a one-to-one mapping: you have to check if this person is the correct one."
"IJB-B","Face Verification","1","Computer Vision","paperswithcode","Face verification is the task of comparing a candidate face to another, and verifying whether it is a match. It is a one-to-one mapping: you have to check if this person is the correct one."
"IJB-C","Face Verification","1","Computer Vision","paperswithcode","Face verification is the task of comparing a candidate face to another, and verifying whether it is a match. It is a one-to-one mapping: you have to check if this person is the correct one."
"YouTube Faces DB","Face Verification","1","Computer Vision","paperswithcode","Face verification is the task of comparing a candidate face to another, and verifying whether it is a match. It is a one-to-one mapping: you have to check if this person is the correct one."
"Labeled Faces in the Wild","Face Verification","1","Computer Vision","paperswithcode","Face verification is the task of comparing a candidate face to another, and verifying whether it is a match. It is a one-to-one mapping: you have to check if this person is the correct one."
"MAFA","Occluded Face Detection","1","Computer Vision","paperswithcode",""
"Annotated Faces in the Wild","Face Detection","1","Computer Vision","paperswithcode","Face detection is the task of detecting faces in a photo or video (and distinguishing them from other objects)."
"WIDER Face (Easy)","Face Detection","1","Computer Vision","paperswithcode","Face detection is the task of detecting faces in a photo or video (and distinguishing them from other objects)."
"WIDER Face (Hard)","Face Detection","1","Computer Vision","paperswithcode","Face detection is the task of detecting faces in a photo or video (and distinguishing them from other objects)."
"FDDB","Face Detection","1","Computer Vision","paperswithcode","Face detection is the task of detecting faces in a photo or video (and distinguishing them from other objects)."
"WIDER Face (Medium)","Face Detection","1","Computer Vision","paperswithcode","Face detection is the task of detecting faces in a photo or video (and distinguishing them from other objects)."
"PASCAL Face","Face Detection","1","Computer Vision","paperswithcode","Face detection is the task of detecting faces in a photo or video (and distinguishing them from other objects)."
"MORPH Album2","Age-Invariant Face Recognition","1","Computer Vision","paperswithcode","Age-invariant face recognition is the task of performing face recognition that is invariant to differences in age."
"CAFR","Age-Invariant Face Recognition","1","Computer Vision","paperswithcode","Age-invariant face recognition is the task of performing face recognition that is invariant to differences in age."
"FG-NET","Age-Invariant Face Recognition","1","Computer Vision","paperswithcode","Age-invariant face recognition is the task of performing face recognition that is invariant to differences in age."
"CACDVS","Age-Invariant Face Recognition","1","Computer Vision","paperswithcode","Age-invariant face recognition is the task of performing face recognition that is invariant to differences in age."
"IJB-A","Face Recognition","1","Computer Vision","paperswithcode","Facial recognition is the task of making a positive identification of a face in a photo or video image against a pre-existing database of faces. It begins with detection - distinguishing human faces from other objects in the image - and then works on identification of those detected faces.

The state of the art tables for this task are contained mainly in the consistent parts of the task : the face verification and face identification tasks."
"IJB-B","Face Recognition","1","Computer Vision","paperswithcode","Facial recognition is the task of making a positive identification of a face in a photo or video image against a pre-existing database of faces. It begins with detection - distinguishing human faces from other objects in the image - and then works on identification of those detected faces.

The state of the art tables for this task are contained mainly in the consistent parts of the task : the face verification and face identification tasks."
"Olivetti Faces 5 Image","Face Recognition","1","Computer Vision","paperswithcode","Facial recognition is the task of making a positive identification of a face in a photo or video image against a pre-existing database of faces. It begins with detection - distinguishing human faces from other objects in the image - and then works on identification of those detected faces.

The state of the art tables for this task are contained mainly in the consistent parts of the task : the face verification and face identification tasks."
"Urban100 - 4x upscaling","Image Super-Resolution","1","Computer Vision","paperswithcode","Image super-resolution (SR) techniques reconstruct a higher-resolution image or sequence from the observed lower-resolution images. Usually the benchmarks are single-image super-resolution (SISR) tasks."
"Set14 - 4x upscaling","Image Super-Resolution","1","Computer Vision","paperswithcode","Image super-resolution (SR) techniques reconstruct a higher-resolution image or sequence from the observed lower-resolution images. Usually the benchmarks are single-image super-resolution (SISR) tasks."
"BSD100 - 4x upscaling","Image Super-Resolution","1","Computer Vision","paperswithcode","Image super-resolution (SR) techniques reconstruct a higher-resolution image or sequence from the observed lower-resolution images. Usually the benchmarks are single-image super-resolution (SISR) tasks."
"Set5 - 4x upscaling","Image Super-Resolution","1","Computer Vision","paperswithcode","Image super-resolution (SR) techniques reconstruct a higher-resolution image or sequence from the observed lower-resolution images. Usually the benchmarks are single-image super-resolution (SISR) tasks."
"Manga109 - 4x upscaling","Image Super-Resolution","1","Computer Vision","paperswithcode","Image super-resolution (SR) techniques reconstruct a higher-resolution image or sequence from the observed lower-resolution images. Usually the benchmarks are single-image super-resolution (SISR) tasks."
"Set5-2x","Super Resolution","1","Computer Vision","paperswithcode","Super resolution is the task of taking an input of a low resolution (LR) and upscaling it to that of a high resolution."
"Citeseer","Link Prediction","1","Graphs","paperswithcode","Link prediction is a task to estimate the probability of links between nodes in a graph."
"YAGO3-10","Link Prediction","1","Graphs","paperswithcode","Link prediction is a task to estimate the probability of links between nodes in a graph."
"WN18RR","Link Prediction","1","Graphs","paperswithcode","Link prediction is a task to estimate the probability of links between nodes in a graph."
" FB15k","Link Prediction","1","Graphs","paperswithcode","Link prediction is a task to estimate the probability of links between nodes in a graph."
"Cora","Link Prediction","1","Graphs","paperswithcode","Link prediction is a task to estimate the probability of links between nodes in a graph."
"Pubmed","Link Prediction","1","Graphs","paperswithcode","Link prediction is a task to estimate the probability of links between nodes in a graph."
"WN18","Link Prediction","1","Graphs","paperswithcode","Link prediction is a task to estimate the probability of links between nodes in a graph."
"FB15k-237","Link Prediction","1","Graphs","paperswithcode","Link prediction is a task to estimate the probability of links between nodes in a graph."
"WMT2016 English-German","Unsupervised Machine Translation","1","Natural Language Processing","paperswithcode","Unsupervised machine translation is the task of doing machine translation without any translation resources at training time."
