"method","source","description"
"LSTM-8192-1024 + CNN Input","LSTM-8192-1024 + CNN Input","Exploring the Limits of Language Modeling"
"LSTM-8192-1024","LSTM-8192-1024","Exploring the Limits of Language Modeling"
" GCNN-14 bottleneck"," GCNN-14 bottleneck","Language Modeling with Gated Convolutional Networks"
"Low-Budget MoE","Low-Budget MoE","Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer"
"BIG G-LSTM-2","BIG G-LSTM-2","Factorization tricks for LSTM networks"
"RNN-1024 + 9 Gram","RNN-1024 + 9 Gram","One Billion Word Benchmark for Measuring Progress in Statistical Language Modeling"
"Sparse Non-Negative","Sparse Non-Negative","Skip-gram Language Modeling Using Sparse Non-negative Matrix Probability Estimation"
"3-layer AWD-LSTM","3-layer AWD-LSTM","An Analysis of Neural Language Modeling at Multiple Scales"
"6-layer QRNN","6-layer QRNN","An Analysis of Neural Language Modeling at Multiple Scales"
"FS-LSTM-4","FS-LSTM-4","Fast-Slow Recurrent Neural Networks"
"FS-LSTM-2","FS-LSTM-2","Fast-Slow Recurrent Neural Networks"
"NASCell","NASCell","Neural Architecture Search with Reinforcement Learning"
"2-layer Norm HyperLSTM","2-layer Norm HyperLSTM","HyperNetworks"
"64-layer Character Transformer Model","64-layer Character Transformer Model","Character-Level Language Modeling with Deeper Self-Attention"
"12-layer Character Transformer Model","12-layer Character Transformer Model","Character-Level Language Modeling with Deeper Self-Attention"
"mLSTM + dynamic eval","mLSTM + dynamic eval","Dynamic Evaluation of Neural Sequence Models"
"Large mLSTM +emb +WN +VD","Large mLSTM +emb +WN +VD","Multiplicative LSTM for sequence modelling"
"Large RHN","Large RHN","Recurrent Highway Networks"
"LayerNorm HM-LSTM","LayerNorm HM-LSTM","Hierarchical Multiscale Recurrent Neural Networks"
"Unregularised mLSTM","Unregularised mLSTM","Multiplicative LSTM for sequence modelling"
"24-layer Transformer-XL","24-layer Transformer-XL","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"18-layer Transformer-XL","18-layer Transformer-XL","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"12-layer Transformer-XL","12-layer Transformer-XL","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"FRAGE + AWD-LSTM-MoS + dynamic eval","FRAGE + AWD-LSTM-MoS + dynamic eval","FRAGE: Frequency-Agnostic Word Representation"
"MFS baseline","MFS baseline",""
"supWSD","supWSD",""
"ELMo","ELMo","Deep Contextualized Word Representations"
"context2vec","context2vec",""
"Bi-LSTM<sub>att+LEX+POS<sub>","Bi-LSTM<sub>att+LEX+POS<sub>","Neural Sequence Learning Models for Word Sense Disambiguation"
"Bi-LSTM<sub>att+LEX<sub>","Bi-LSTM<sub>att+LEX<sub>","Neural Sequence Learning Models for Word Sense Disambiguation"
"GAS","GAS","Incorporating Glosses into Neural Word Sense Disambiguation"
"GAS<sub>ext<sub>","GAS<sub>ext<sub>","Incorporating Glosses into Neural Word Sense Disambiguation"
"supWSD<sub>emb<sub>","supWSD<sub>emb<sub>",""
"SemCor+WNGT, vocabulary reduced, ensemble","SemCor+WNGT, vocabulary reduced, ensemble","Improving the Coverage and the Generalization Ability of Neural Word Sense Disambiguation through Hypernymy and Hyponymy Relationships"
"LSTM (T:SemCor)","LSTM (T:SemCor)","Semi-supervised Word Sense Disambiguation with Neural Models"
"LSTMLP (T:SemCor, U:OMSTI)","LSTMLP (T:SemCor, U:OMSTI)","Semi-supervised Word Sense Disambiguation with Neural Models"
"LSTMLP (T:SemCor, U:1K)","LSTMLP (T:SemCor, U:1K)","Semi-supervised Word Sense Disambiguation with Neural Models"
"LSTMLP (T:OMSTI, U:1K)","LSTMLP (T:OMSTI, U:1K)","Semi-supervised Word Sense Disambiguation with Neural Models"
"LSTM (T:OMSTI)","LSTM (T:OMSTI)","Semi-supervised Word Sense Disambiguation with Neural Models"
"GASext (Linear)","GASext (Linear)","Incorporating Glosses into Neural Word Sense Disambiguation"
"GASext (Concatenation)","GASext (Concatenation)","Incorporating Glosses into Neural Word Sense Disambiguation"
"GAS (Concatenation)","GAS (Concatenation)","Incorporating Glosses into Neural Word Sense Disambiguation"
"GAS (Linear)","GAS (Linear)","Incorporating Glosses into Neural Word Sense Disambiguation"
"WSD-TM","WSD-TM","Knowledge-based Word Sense Disambiguation using Topic Models"
"Babelfy","Babelfy",""
"WN 1st sense baseline","WN 1st sense baseline",""
"UKB<sub>ppr_w2w-nf<sub>","UKB<sub>ppr_w2w-nf<sub>",""
"UKB<sub>ppr_w2w<sub>","UKB<sub>ppr_w2w<sub>",""
"ESIM + ELMo","ESIM + ELMo","SWAG: A Large-Scale Adversarial Dataset for Grounded Commonsense Inference"
"ESIM + GloVe","ESIM + GloVe","SWAG: A Large-Scale Adversarial Dataset for Grounded Commonsense Inference"
"Word-LM-partial","Word-LM-partial","A Simple Method for Commonsense Reasoning"
"Char-LM-partial","Char-LM-partial","A Simple Method for Commonsense Reasoning"
"USSM + Supervised DeepNet + KB","USSM + Supervised DeepNet + KB",""
"BiRNN 100d","BiRNN 100d","Event2Mind: Commonsense Inference on Events, Intents, and Reactions"
"ConvNet","ConvNet","Event2Mind: Commonsense Inference on Events, Intents, and Reactions"
"Cascaded-MTL","Cascaded-MTL","CNN-based Cascaded Multi-task Learning of High-level Prior and Density Estimation for Crowd Counting"
"BiLSTM","BiLSTM","Can Syntax Help? Improving an LSTM-based Sentence Compression Model for New Domains"
"BiRNN + LM Evaluator","BiRNN + LM Evaluator","A Language Model based Evaluator for Sentence Compression"
"LSTM","LSTM",""
"CESI","CESI","CESI: Canonicalizing Open Knowledge Bases using Embeddings and Side Information"
"Galárraga et al., 2014","Galárraga et al., 2014",""
"Field-gating Seq2seq + dual attention","Field-gating Seq2seq + dual attention","Table-to-text Generation by Structure-aware Seq2seq Learning"
"Field-gating Seq2seq + dual attention + beam search","Field-gating Seq2seq + dual attention + beam search","Table-to-text Generation by Structure-aware Seq2seq Learning"
"Table NLM","Table NLM","Neural Text Generation from Structured Data with Application to the Biography Domain"
"Neural Content Planning + conditional copy","Neural Content Planning + conditional copy","Data-to-Text Generation with Content Selection and Planning"
"Encoder-decoder + conditional copy","Encoder-decoder + conditional copy","Challenges in Data-to-Document Generation"
"GCN EC","GCN EC","Deep Graph Convolutional Encoders for Structured Data to Text Generation"
"GCN + feat","GCN + feat","Deep Graph Convolutional Encoders for Structured Data to Text Generation"
"MrRNN Act.-Ent.","MrRNN Act.-Ent.","Multiresolution Recurrent Neural Networks: An Application to Dialogue Response Generation"
"LeakGAN","LeakGAN","Long Text Generation via Adversarial Training with Leaked Information"
"RankGAN","RankGAN","Adversarial Ranking for Language Generation"
"SeqGAN","SeqGAN","SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient"
"Aggressive VAE","Aggressive VAE","Lagging Inference Networks and Posterior Collapse in Variational Autoencoders"
"SA-VAE","SA-VAE","Semi-Amortized Variational Autoencoders"
"CNN-VAE","CNN-VAE","Improved Variational Autoencoders for Text Modeling using Dilated Convolutions"
"AEM+Attention","AEM+Attention","An Auto-Encoder Matching Model for Learning Utterance-Level Semantic Dependency in Dialogue Generation"
"Graph2Seq","Graph2Seq","A Graph-to-Sequence Model for AMR-to-Text Generation"
"STWGAN-GP","STWGAN-GP","Generating Text through Adversarial Training using Skip-Thought Vectors"
"BiLSTM","BiLSTM","Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond"
"X-BiLSTM","X-BiLSTM","Supervised Learning of Universal Sentence Representations from Natural Language Inference Data"
"X-CBOW","X-CBOW","Supervised Learning of Universal Sentence Representations from Natural Language Inference Data"
"Finetuned Transformer LM","Finetuned Transformer LM",""
"Hierarchical BiLSTM Max Pooling","Hierarchical BiLSTM Max Pooling","Natural Language Inference with Hierarchical BiLSTM Max Pooling Architecture"
"CAFE","CAFE","Compare, Compress and Propagate: Enhancing Neural Architectures with Alignment Factorization for Natural Language Inference"
"aESIM","aESIM","Attention Boosted Sequential Inference Model"
"Multi-task BiLSTM + Attn","Multi-task BiLSTM + Attn","GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding"
"V-BiMPM","V-BiMPM","Grounded Textual Entailment"
"BiMPM","BiMPM","Grounded Textual Entailment"
"Densely-Connected Recurrent and Co-Attentive Network Ensemble","Densely-Connected Recurrent and Co-Attentive Network Ensemble","Semantic Sentence Matching with Densely-connected Recurrent and Co-attentive Information"
"Fine-Tuned LM-Pretrained Transformer","Fine-Tuned LM-Pretrained Transformer","Improving Language Understanding by Generative Pre-Training"
"300D DMAN Ensemble","300D DMAN Ensemble","Discourse Marker Augmented Network with Reinforcement Learning for Natural Language Inference"
"150D Multiway Attention Network Ensemble","150D Multiway Attention Network Ensemble","Multiway Attention Networks for Modeling Sentence Pairs"
"450D DR-BiLSTM Ensemble","450D DR-BiLSTM Ensemble","DR-BiLSTM: Dependent Reading Bidirectional LSTM for Natural Language Inference"
"300D CAFE Ensemble","300D CAFE Ensemble","Compare, Compress and Propagate: Enhancing Neural Architectures with Alignment Factorization for Natural Language Inference"
"ESIM + ELMo Ensemble","ESIM + ELMo Ensemble","Deep contextualized word representations"
"KIM Ensemble","KIM Ensemble","Neural Natural Language Inference Models Enhanced with External Knowledge"
"SLRC","SLRC","I Know What You Want: Semantic Learning for Text Comprehension"
"Densely-Connected Recurrent and Co-Attentive Network","Densely-Connected Recurrent and Co-Attentive Network","Semantic Sentence Matching with Densely-connected Recurrent and Co-attentive Information"
"448D Densely Interactive Inference Network (DIIN, code) Ensemble","448D Densely Interactive Inference Network (DIIN, code) Ensemble","Natural Language Inference over Interaction Space"
"300D DMAN","300D DMAN","Discourse Marker Augmented Network with Reinforcement Learning for Natural Language Inference"
"BiMPM Ensemble","BiMPM Ensemble","Bilateral Multi-Perspective Matching for Natural Language Sentences"
"ESIM + ELMo","ESIM + ELMo","Deep contextualized word representations"
"KIM","KIM","Neural Natural Language Inference Models Enhanced with External Knowledge"
"600D ESIM + 300D Syntactic TreeLSTM","600D ESIM + 300D Syntactic TreeLSTM","Enhanced LSTM for Natural Language Inference"
"450D DR-BiLSTM","450D DR-BiLSTM","DR-BiLSTM: Dependent Reading Bidirectional LSTM for Natural Language Inference"
"Stochastic Answer Network","Stochastic Answer Network","Stochastic Answer Networks for Natural Language Inference"
"300D CAFE","300D CAFE","Compare, Compress and Propagate: Enhancing Neural Architectures with Alignment Factorization for Natural Language Inference"
"150D Multiway Attention Network","150D Multiway Attention Network","Multiway Attention Networks for Modeling Sentence Pairs"
"Biattentive Classification Network + CoVe + Char","Biattentive Classification Network + CoVe + Char","Learned in Translation: Contextualized Word Vectors"
"448D Densely Interactive Inference Network (DIIN, code)","448D Densely Interactive Inference Network (DIIN, code)","Natural Language Inference over Interaction Space"
"300D re-read LSTM","300D re-read LSTM",""
"2400D Multiple-Dynamic Self-Attention Model","2400D Multiple-Dynamic Self-Attention Model","Dynamic Self-Attention : Computing Attention over Words Dynamically for Sentence Embedding"
"300D Full tree matching NTI-SLSTM-LSTM w global attention","300D Full tree matching NTI-SLSTM-LSTM w global attention","Neural Tree Indexers for Text Understanding"
"300D 2-layer Bi-CAS-LSTM","300D 2-layer Bi-CAS-LSTM","Cell-aware Stacked LSTMs for Modeling Sentences"
"200D decomposable attention model with intra-sentence attention","200D decomposable attention model with intra-sentence attention","A Decomposable Attention Model for Natural Language Inference"
"600D Dynamic Self-Attention Model","600D Dynamic Self-Attention Model","Dynamic Self-Attention : Computing Attention over Words Dynamically for Sentence Embedding"
"CBS-1 + ESIM","CBS-1 + ESIM","Parameter Re-Initialization through Cyclical Batch Size Schedules"
"512D Dynamic Meta-Embeddings","512D Dynamic Meta-Embeddings","Dynamic Meta-Embeddings for Improved Sentence Representations"
"600D BiLSTM with generalized pooling","600D BiLSTM with generalized pooling","Enhancing Sentence Embedding with Generalized Pooling"
"600D Hierarchical BiLSTM with Max Pooling (HBMP, code)","600D Hierarchical BiLSTM with Max Pooling (HBMP, code)","Natural Language Inference with Hierarchical BiLSTM Max Pooling Architecture"
"Densely-Connected Recurrent and Co-Attentive Network (encoder)","Densely-Connected Recurrent and Co-Attentive Network (encoder)","Semantic Sentence Matching with Densely-connected Recurrent and Co-attentive Information"
"300D Reinforced Self-Attention Network","300D Reinforced Self-Attention Network","Reinforced Self-Attention Network: a Hybrid of Hard and Soft Attention for Sequence Modeling"
"Distance-based Self-Attention Network","Distance-based Self-Attention Network","Distance-based Self-Attention Network for Natural Language Inference"
"200D decomposable attention model","200D decomposable attention model","A Decomposable Attention Model for Natural Language Inference"
"450D LSTMN with deep attention fusion","450D LSTMN with deep attention fusion","Long Short-Term Memory-Networks for Machine Reading"
"300D mLSTM word-by-word attention model","300D mLSTM word-by-word attention model","Learning Natural Language Inference with LSTM"
"600D Gumbel TreeLSTM encoders","600D Gumbel TreeLSTM encoders","Learning to Compose Task-Specific Tree Structures"
"600D Residual stacked encoders","600D Residual stacked encoders","Shortcut-Stacked Sentence Encoders for Multi-Domain Inference"
"300D CAFE (no cross-sentence attention)","300D CAFE (no cross-sentence attention)","Compare, Compress and Propagate: Enhancing Neural Architectures with Alignment Factorization for Natural Language Inference"
"1200D REGMAPR (Base+Reg)","1200D REGMAPR (Base+Reg)",""
"300D Residual stacked encoders","300D Residual stacked encoders","Shortcut-Stacked Sentence Encoders for Multi-Domain Inference"
"300D LSTMN with deep attention fusion","300D LSTMN with deep attention fusion","Long Short-Term Memory-Networks for Machine Reading"
"300D Gumbel TreeLSTM encoders","300D Gumbel TreeLSTM encoders","Learning to Compose Task-Specific Tree Structures"
"300D Directional self-attention network encoders","300D Directional self-attention network encoders","DiSAN: Directional Self-Attention Network for RNNCNN-Free Language Understanding"
"600D (300+300) Deep Gated Attn. BiLSTM encoders","600D (300+300) Deep Gated Attn. BiLSTM encoders","Recurrent Neural Network-Based Sentence Encoder with Gated Attention for Natural Language Inference"
"300D MMA-NSE encoders with attention","300D MMA-NSE encoders with attention","Neural Semantic Encoders"
"50D stacked TC-LSTMs","50D stacked TC-LSTMs","Modelling Interaction of Sentence Pair with coupled-LSTMs"
"600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc.","600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc.","Learning Natural Language Inference using Bidirectional LSTM model and Inner-Attention"
"300D NSE encoders","300D NSE encoders","Neural Semantic Encoders"
"100D DF-LSTM","100D DF-LSTM","Deep Fusion LSTMs for Text Semantic Matching"
"4096D BiLSTM with max-pooling","4096D BiLSTM with max-pooling","Supervised Learning of Universal Sentence Representations from Natural Language Inference Data"
"600D (300+300) BiLSTM encoders with intra-attention","600D (300+300) BiLSTM encoders with intra-attention","Learning Natural Language Inference using Bidirectional LSTM model and Inner-Attention"
"100D LSTMs w word-by-word attention","100D LSTMs w word-by-word attention","Reasoning about Entailment with Neural Attention"
"300D NTI-SLSTM-LSTM encoders","300D NTI-SLSTM-LSTM encoders","Neural Tree Indexers for Text Understanding"
"600D (300+300) BiLSTM encoders","600D (300+300) BiLSTM encoders","Learning Natural Language Inference using Bidirectional LSTM model and Inner-Attention"
"300D SPINN-PI encoders","300D SPINN-PI encoders","A Fast Unified Model for Parsing and Sentence Understanding"
"300D Tree-based CNN encoders","300D Tree-based CNN encoders","Natural Language Inference by Tree-Based Convolution and Heuristic Matching"
"1024D GRU encoders w unsupervised skip-thoughts pre-training","1024D GRU encoders w unsupervised skip-thoughts pre-training","Order-Embeddings of Images and Language"
"300D LSTM encoders","300D LSTM encoders","A Fast Unified Model for Parsing and Sentence Understanding"
"+ Unigram and bigram features","+ Unigram and bigram features","A large annotated corpus for learning natural language inference"
"100D LSTM encoders","100D LSTM encoders","A large annotated corpus for learning natural language inference"
"Unlexicalized features","Unlexicalized features","A large annotated corpus for learning natural language inference"
"LSTM","LSTM","Predictive Business Process Monitoring with LSTM Neural Networks"
"Up-Down","Up-Down","Bottom-Up and Top-Down Attention for Image Captioning and Visual Question Answering"
"HDU-USYD-UNCC","HDU-USYD-UNCC","VQA: Visual Question Answering"
"DLAIT","DLAIT","VQA: Visual Question Answering"
"MCB","MCB","Making the V in VQA Matter: Elevating the Role of Image Understanding in Visual Question Answering"
"d-LSTM+nI","d-LSTM+nI","Making the V in VQA Matter: Elevating the Role of Image Understanding in Visual Question Answering"
"CMN","CMN","Modeling Relationships in Referential Expressions with Compositional Modular Networks"
"MCB+Att.","MCB+Att.","Multimodal Compact Bilinear Pooling for Visual Question Answering and Visual Grounding"
"MCB 7 att.","MCB 7 att.","Multimodal Compact Bilinear Pooling for Visual Question Answering and Visual Grounding"
"joint-loss","joint-loss","Training Recurrent Answering Units with Joint Loss Minimization for VQA"
"MRN","MRN","Multimodal Residual Learning for Visual QA"
"HQI+ResNet","HQI+ResNet","Hierarchical Question-Image Co-Attention for Visual Question Answering"
"FDA","FDA","A Focused Dynamic Attention Model for Visual Question Answering"
"LSTM Q+I","LSTM Q+I","VQA: Visual Question Answering"
"iBOWIMG baseline","iBOWIMG baseline","Simple Baseline for Visual Question Answering"
"Graph VQA","Graph VQA","Graph-Structured Representations for Visual Question Answering"
"Dualnet ensemble","Dualnet ensemble","VQA: Visual Question Answering"
"LSTM + global features","LSTM + global features","VQA: Visual Question Answering"
"LSTM blind","LSTM blind","VQA: Visual Question Answering"
"N2NMN","N2NMN","Learning to Reason: End-to-End Module Networks for Visual Question Answering"
"MRN + global features","MRN + global features","Multimodal Residual Learning for Visual QA"
"CNN-RNN","CNN-RNN","Image Captioning and Visual Question Answering Based on Attributes and External Knowledge"
"SAN","SAN","Stacked Attention Networks for Image Question Answering"
"SMem-VQA","SMem-VQA","Ask, Attend and Answer: Exploring Question-Guided Spatial Attention for Visual Question Answering"
"Denoising QA","Denoising QA","Denoising Distantly Supervised Open-Domain Question Answering"
"DecaProp","DecaProp","Densely Connected Attention Propagation for Reading Comprehension"
"R^3","R^3",""
"GA","GA","Gated-Attention Readers for Text Comprehension"
"BiDAF","BiDAF","Bidirectional Attention Flow for Machine Comprehension"
"Bi-Attention + DCU-LSTM","Bi-Attention + DCU-LSTM","Multi-Granular Sequence Encoding via Dilated Compositional Units for Reading Comprehension"
"AMANDA","AMANDA","A Question-Focused Multi-Factor Attention Network for Question Answering"
"Focused Hierarchical RNN","Focused Hierarchical RNN","Focused Hierarchical RNNs for Conditional Sequence Processing"
"ASR","ASR","Text Understanding with the Attention Sum Reader Network"
"HyperQA","HyperQA","Hyperbolic Representation Learning for Fast and Efficient Neural Question Answering"
"PWIN","PWIN","Pairwise Word Interaction Modeling with Deep Neural Networks for Semantic Similarity Measurement"
"aNMM","aNMM","aNMM: Ranking Short Answer Texts with Attention-Based Neural Matching Model"
"CNN","CNN","Deep Learning for Answer Sentence Selection"
"Gated-Attention Reader","Gated-Attention Reader","CliCR: a Dataset of Clinical Case Reports for Machine Reading Comprehension"
"Stanford Attentive Reader","Stanford Attentive Reader","CliCR: a Dataset of Clinical Case Reports for Machine Reading Comprehension"
"Memory Networks (ensemble)","Memory Networks (ensemble)","Large-scale Simple Question Answering with Memory Networks"
"BERT (ensemble)","BERT (ensemble)","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"
"nlnet (ensemble)","nlnet (ensemble)",""
"BERT (single model)","BERT (single model)","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"
"QANet (ensemble)","QANet (ensemble)",""
"r-net (ensemble)","r-net (ensemble)",""
"MARS (ensemble)","MARS (ensemble)",""
"nlnet (single model)","nlnet (single model)",""
"MARS (single model)","MARS (single model)",""
"Reinforced Mnemonic Reader + A2D (ensemble model)","Reinforced Mnemonic Reader + A2D (ensemble model)",""
"r-net+ (ensemble)","r-net+ (ensemble)",""
"Hybrid AoA Reader (ensemble)","Hybrid AoA Reader (ensemble)",""
"QANet (single)","QANet (single)",""
"SLQA+ (ensemble)","SLQA+ (ensemble)",""
"Reinforced Mnemonic Reader (ensemble model)","Reinforced Mnemonic Reader (ensemble model)","Reinforced Mnemonic Reader for Machine Reading Comprehension"
"QANet (single model)","QANet (single model)",""
"AttentionReader+ (ensemble)","AttentionReader+ (ensemble)",""
"MMIPN","MMIPN",""
"Reinforced Mnemonic Reader + A2D (single model)","Reinforced Mnemonic Reader + A2D (single model)",""
"KACTEIL-MRC(GF-Net+) (ensemble)","KACTEIL-MRC(GF-Net+) (ensemble)",""
"Reinforced Mnemonic Reader + A2D + DA (single model)","Reinforced Mnemonic Reader + A2D + DA (single model)",""
"r-net (single model)","r-net (single model)",""
"BiDAF + Self Attention + ELMo (ensemble)","BiDAF + Self Attention + ELMo (ensemble)","Deep contextualized word representations"
"AVIQA+ (ensemble)","AVIQA+ (ensemble)",""
"SLQA+","SLQA+",""
"{EAZI} (ensemble)","{EAZI} (ensemble)",""
"EAZI+ (ensemble)","EAZI+ (ensemble)",""
"DNET (ensemble)","DNET (ensemble)",""
"Hybrid AoA Reader (single model)","Hybrid AoA Reader (single model)",""
"BiDAF + Self Attention + ELMo + A2D (single model)","BiDAF + Self Attention + ELMo + A2D (single model)",""
"r-net+ (single model)","r-net+ (single model)",""
"MAMCN+ (single model)","MAMCN+ (single model)","A Multi-Stage Memory Augmented Neural Network for Machine Reading Comprehension"
"SAN (ensemble model)","SAN (ensemble model)","Stochastic Answer Networks for Machine Reading Comprehension"
"Reinforced Mnemonic Reader (single model)","Reinforced Mnemonic Reader (single model)","Reinforced Mnemonic Reader for Machine Reading Comprehension"
"SLQA+ (single model)","SLQA+ (single model)",""
"Interactive AoA Reader+ (ensemble)","Interactive AoA Reader+ (ensemble)",""
"MIR-MRC(F-Net) (single model)","MIR-MRC(F-Net) (single model)",""
"MDReader","MDReader",""
"FusionNet (ensemble)","FusionNet (ensemble)","FusionNet: Fusing via Fully-Aware Attention with Application to Machine Comprehension"
"DCN+ (ensemble)","DCN+ (ensemble)","DCN+: Mixed Objective and Deep Residual Coattention for Question Answering"
"KACTEIL-MRC(GF-Net+) (single model)","KACTEIL-MRC(GF-Net+) (single model)",""
"BiDAF + Self Attention + ELMo (single model)","BiDAF + Self Attention + ELMo (single model)","Deep contextualized word representations"
"aviqa (ensemble)","aviqa (ensemble)",""
"Conductor-net (ensemble)","Conductor-net (ensemble)","Phase Conductor on Multi-layered Attentions for Machine Comprehension"
"KakaoNet (single model)","KakaoNet (single model)",""
"SLQA(ensemble)","SLQA(ensemble)",""
"MEMEN  (single model)","MEMEN  (single model)","MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension"
"BiDAF++ with pair2vec (single model)","BiDAF++ with pair2vec (single model)",""
"MDReader0","MDReader0",""
"test","test",""
"Interactive AoA Reader (ensemble)","Interactive AoA Reader (ensemble)",""
"DNET (single model)","DNET (single model)",""
"RaSoR + TR + LM (single model)","RaSoR + TR + LM (single model)","Contextualized Word Representations for Reading Comprehension"
"BiDAF++ (single model)","BiDAF++ (single model)",""
"AttentionReader+ (single)","AttentionReader+ (single)",""
"Jenga (ensemble)","Jenga (ensemble)",""
"{gqa} (single model)","{gqa} (single model)",""
"SAN (single model)","SAN (single model)","Stochastic Answer Networks for Machine Reading Comprehension"
"VS^3-NET (single model)","VS^3-NET (single model)",""
"r-net (single model)","r-net (single model)","Gated Self-Matching Networks for Reading Comprehension and Question Answering"
"FRC (single model)","FRC (single model)",""
"QANet + data augmentation ×3","QANet + data augmentation ×3","QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension"
"Conductor-net (ensemble)","Conductor-net (ensemble)",""
"KAR (single model)","KAR (single model)","Exploring Machine Reading Comprehension with Explicit Knowledge"
"smarnet (ensemble)","smarnet (ensemble)",""
"FusionNet (single model)","FusionNet (single model)","FusionNet: Fusing via Fully-Aware Attention with Application to Machine Comprehension"
"AVIQA-v2 (single model)","AVIQA-v2 (single model)",""
"Interactive AoA Reader+ (single model)","Interactive AoA Reader+ (single model)",""
"RaSoR + TR (single model)","RaSoR + TR (single model)","Contextualized Word Representations for Reading Comprehension"
"MEMEN (ensemble)","MEMEN (ensemble)","MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension"
"Mixed model (ensemble)","Mixed model (ensemble)",""
"two-attention-self-attention (ensemble)","two-attention-self-attention (ensemble)",""
"DCN+ (single model)","DCN+ (single model)","DCN+: Mixed Objective and Deep Residual Coattention for Question Answering"
"ReasoNet (ensemble)","ReasoNet (ensemble)","ReasoNet: Learning to Stop Reading in Machine Comprehension"
"eeAttNet (single model)","eeAttNet (single model)",""
"SSR-BiDAF","SSR-BiDAF",""
"SLQA (single model)","SLQA (single model)",""
"Conductor-net (single model)","Conductor-net (single model)","Phase Conductor on Multi-layered Attentions for Machine Comprehension"
"Jenga (single model)","Jenga (single model)",""
"Mnemonic Reader (ensemble)","Mnemonic Reader (ensemble)","Reinforced Mnemonic Reader for Machine Reading Comprehension"
"S^3-Net (ensemble)","S^3-Net (ensemble)",""
"SEDT (ensemble model)","SEDT (ensemble model)","Structural Embedding of Syntactic Trees for Machine Comprehension"
"SSAE (ensemble)","SSAE (ensemble)",""
"Multi-Perspective Matching (ensemble)","Multi-Perspective Matching (ensemble)","Multi-Perspective Context Matching for Machine Comprehension"
"BiDAF (ensemble)","BiDAF (ensemble)","Bidirectional Attention Flow for Machine Comprehension"
"SEDT+BiDAF (ensemble)","SEDT+BiDAF (ensemble)","Structural Embedding of Syntactic Trees for Machine Comprehension"
"Interactive AoA Reader (single model)","Interactive AoA Reader (single model)",""
"Conductor-net (single)","Conductor-net (single)","Phase Conductor on Multi-layered Attentions for Machine Comprehension"
"jNet (ensemble)","jNet (ensemble)","Exploring Question Understanding and Adaptation in Neural-Network-Based Question Answering"
"T-gating (ensemble)","T-gating (ensemble)",""
"two-attention-self-attention (single model)","two-attention-self-attention (single model)",""
"Conductor-net (single)","Conductor-net (single)",""
"AVIQA (single model)","AVIQA (single model)",""
"BiDAF + Self Attention (single model)","BiDAF + Self Attention (single model)","Simple and Effective Multi-Paragraph Reading Comprehension"
"S^3-Net (single model)","S^3-Net (single model)",""
"QFASE","QFASE",""
"attention+self-attention (single model)","attention+self-attention (single model)",""
"Dynamic Coattention Networks (ensemble)","Dynamic Coattention Networks (ensemble)","Dynamic Coattention Networks For Question Answering"
"smarnet (single model)","smarnet (single model)","Smarnet: Teaching Machines to Read and Comprehend Like Human"
"SRU","SRU","Simple Recurrent Units for Highly Parallelizable Recurrence"
"AttReader (single)","AttReader (single)",""
"DCN + Char + CoVe","DCN + Char + CoVe","Learned in Translation: Contextualized Word Vectors"
"M-NET (single)","M-NET (single)",""
"Mnemonic Reader (single model)","Mnemonic Reader (single model)","Reinforced Mnemonic Reader for Machine Reading Comprehension"
"MAMCN (single model)","MAMCN (single model)",""
"FastQAExt","FastQAExt","Making Neural QA as Simple as Possible but not Simpler"
"RaSoR (single model)","RaSoR (single model)","Learning Recurrent Span Representations for Extractive Question Answering"
"Document Reader (single model)","Document Reader (single model)","Reading Wikipedia to Answer Open-Domain Questions"
"Ruminating Reader (single model)","Ruminating Reader (single model)","Ruminating Reader: Reasoning with Gated Multi-Hop Attention"
"jNet (single model)","jNet (single model)","Exploring Question Understanding and Adaptation in Neural-Network-Based Question Answering"
"ReasoNet (single model)","ReasoNet (single model)","ReasoNet: Learning to Stop Reading in Machine Comprehension"
"Multi-Perspective Matching (single model)","Multi-Perspective Matching (single model)","Multi-Perspective Context Matching for Machine Comprehension"
"SimpleBaseline (single model)","SimpleBaseline (single model)",""
"SEDT+BiDAF (single model)","SEDT+BiDAF (single model)","Structural Embedding of Syntactic Trees for Machine Comprehension"
"FastQA","FastQA","Making Neural QA as Simple as Possible but not Simpler"
"PQMN (single model)","PQMN (single model)",""
"SEDT (single model)","SEDT (single model)","Structural Embedding of Syntactic Trees for Machine Comprehension"
"T-gating (single model)","T-gating (single model)",""
