"name","link","description","date"
"DenseNet-161 + SWA","http://arxiv.org/abs/1803.05407v3","Averaging Weights Leads to Wider Optima and Better Generalization","2018-03-14"
"Inception V2","http://arxiv.org/abs/1502.03167v3","Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift","2015-02-11"
"ShuffleNet","http://arxiv.org/abs/1707.01083v2","ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices","2017-07-04"
"MobileNet-224","http://arxiv.org/abs/1704.04861v1","MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications","2017-04-17"
"Inception V1","http://arxiv.org/abs/1409.4842v1","Going Deeper with Convolutions","2014-09-17"
"SE-ResNet152  WMW","","",""
"Trimps-Soushen","","",""
"MSRA","","",""
"VGG","","",""
"Clarifai","","",""
"AlexNet  SuperVision","","",""
"XRCE","","",""
"NEC UIUC","","",""
"Random Erasing","http://arxiv.org/abs/1708.04896v2","Random Erasing Data Augmentation","2017-08-16"
"DBSNN","","",""
"Fitnet-LSUV-SVM","http://arxiv.org/abs/1511.06422v7","All you need is a good init","2015-11-19"
"Energy-Based Sparse Represenation","","",""
"Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis","","",""
"HOPE","http://arxiv.org/abs/1502.00702v2","Hybrid Orthogonal Projection and Estimation (HOPE): A New Framework to Probe and Learn Neural Networks","2015-02-03"
"Maxout Networks","http://arxiv.org/abs/1302.4389v4","Maxout Networks","2013-02-18"
"COSFIRE","","",""
"The Best Multi-Stage Architecture","","",""
"Deformation Models","","",""
"Trainable feature extractor","","",""
"ISVM","","",""
"Sparse Coding","","",""
"invariant feature hierarchies","","",""
"Shape contexts","","",""
"CNN+Gabor Filters","","",""
"On Optimization Methods for Deep Learning","","",""
"Deep Fried Convnets","http://arxiv.org/abs/1412.7149v4","Deep Fried Convnets","2014-12-22"
"Sparse Activity and Sparse Connectivity in Supervised Learning","http://arxiv.org/abs/1603.08367v1","Sparse Activity and Sparse Connectivity in Supervised Learning","2016-03-28"
"Explaining and Harnessing Adversarial Examples","http://arxiv.org/abs/1412.6572v3","Explaining and Harnessing Adversarial Examples","2014-12-20"
"CDBN","","",""
"Supervised Translation-Invariant Sparse Coding","","",""
"Large-Margin kNN","","",""
"Deep Boltzmann Machines","","",""
"StrongNet","","",""
"DBN","","",""
"CNN","","",""
"Reducing the dimensionality of data with neural networks","","",""
"Deep learning via semi-supervised embedding","","",""
"Counterfactual Regression + WASS","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"TARNet","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"OLS with separate regressors for each treatment ","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"BART","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"Causal Forest","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"Balancing Neural Network","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"k-NN","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"Balancing Linear Regression","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"OLS with treatments as a feature","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"Random Forest","http://arxiv.org/abs/1606.03976v5","Estimating individual treatment effect: generalization bounds and algorithms","2016-06-13"
"DCRNN","http://arxiv.org/abs/1707.01926v3","Diffusion Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting","2017-07-06"
"MT-DNN","http://arxiv.org/abs/1901.11504v1","Multi-Task Deep Neural Networks for Natural Language Understanding","2019-01-31"
"DIIN","http://arxiv.org/abs/1709.04348v2","Natural Language Inference over Interaction Space","2017-09-13"
"Bi-CAS-LSTM","http://arxiv.org/abs/1809.02279v1","Cell-aware Stacked LSTMs for Modeling Sentences","2018-09-07"
"pt-DecAtt","http://arxiv.org/abs/1704.04565v2","Neural Paraphrase Identification of Questions with Noisy Pretraining","2017-04-15"
"BiMPM","http://arxiv.org/abs/1702.03814v3","Bilateral Multi-Perspective Matching for Natural Language Sentences","2017-02-13"
"GenSen","http://arxiv.org/abs/1804.00079v1","Learning General Purpose Distributed Sentence Representations via Large Scale Multi-task Learning","2018-03-30"
"Linear FullPosterior-MR","http://arxiv.org/abs/1802.09127v1","Deep Bayesian Bandits Showdown: An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling","2018-02-26"
"NeuralLinear FullPosterior-MR","http://arxiv.org/abs/1802.09127v1","Deep Bayesian Bandits Showdown: An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling","2018-02-26"
"SwiDeN","http://arxiv.org/abs/1607.08764v1","SwiDeN : Convolutional Neural Networks For Depiction Invariant Object Recognition","2016-07-29"
"MVCNN-MultiRes","http://arxiv.org/abs/1604.03265v2","Volumetric and Multi-View CNNs for Object Classification on 3D Data","2016-04-12"
"FPNN (4-FCs + NF)","http://arxiv.org/abs/1605.06240v3","FPNN: Field Probing Neural Networks for 3D Data","2016-05-20"
"Variational Shape Learner","http://arxiv.org/abs/1705.05994v4","Learning a Hierarchical Latent-Variable Model of 3D Shapes","2017-05-17"
"Parsing R-CNN + ResNext101","http://arxiv.org/abs/1811.12596v1","Parsing R-CNN for Instance-Level Human Analysis","2018-11-30"
"PGN + ResNet101","http://arxiv.org/abs/1808.00157v1","Instance-level Human Parsing via Part Grouping Network","2018-08-01"
"BERTSUM","http://arxiv.org/abs/1903.10318v1","Fine-tune BERT for Extractive Summarization","2019-03-25"
"BERTSUM+Transformer","https://arxiv.org/abs/1903.10318","Fine-tune BERT for Extractive Summarization","2019-03-25"
"Bottom-Up Sum","http://arxiv.org/abs/1808.10792v2","Bottom-Up Abstractive Summarization","2018-08-31"
"C2F + ALTERNATE","https://aclanthology.coli.uni-saarland.de/papers/W17-4505/w17-4505","Coarse-to-Fine Attention Models for Document Summarization","2017-09-01"
"GPT-2","https://d4mucfpksywv.cloudfront.net/better-language-models/language-models.pdf","Language Models are Unsupervised Multitask Learners","2019-02-14"
"EndDec+WFE","https://aclanthology.coli.uni-saarland.de/papers/E17-2047/e17-2047","Cutting-off Redundant Repeating Generations for Neural Abstractive Summarization","2017-04-01"
"DRGD","https://aclanthology.coli.uni-saarland.de/papers/D17-1222/d17-1222","Deep Recurrent Generative Decoder for Abstractive Text Summarization","2017-09-01"
"Seq2seq + selective + MTL + ERAM","https://aclanthology.coli.uni-saarland.de/papers/C18-1121/c18-1121","Ensure the Correctness of the Summary: Incorporate Entailment Knowledge into Abstractive Sentence Summarization","2018-08-01"
"SEASS","https://aclanthology.coli.uni-saarland.de/papers/P17-1101/p17-1101","Selective Encoding for Abstractive Sentence Summarization","2017-07-01"
"RAS-Elman","https://aclanthology.coli.uni-saarland.de/papers/N16-1012/n16-1012","Abstractive Sentence Summarization with Attentive Recurrent Neural Networks","2016-06-01"
"words-lvt5k-1sent","http://arxiv.org/abs/1602.06023v5","Abstractive Text Summarization Using Sequence-to-Sequence RNNs and Beyond","2016-02-19"
"ABS+","","",""
"ABS","","",""
"FTSum_g","http://arxiv.org/abs/1711.04434v1","Faithful to the Original: Fact Aware Neural Abstractive Summarization","2017-11-13"
"Re^3 Sum","https://aclanthology.coli.uni-saarland.de/papers/P18-1015/p18-1015","Retrieve, Rerank and Rewrite: Soft Template Based Neural Summarization","2018-07-01"
"Seq2seq + E2T_cnn","https://aclanthology.coli.uni-saarland.de/papers/N18-1064/n18-1064","Entity Commonsense Representation for Neural Abstractive Summarization","2018-06-01"
"CGU","https://aclanthology.coli.uni-saarland.de/papers/P18-2027/p18-2027","Global Encoding for Abstractive Summarization","2018-07-01"
"Pointer + Coverage + EntailmentGen + QuestionGen","https://aclanthology.coli.uni-saarland.de/papers/P18-1064/p18-1064","Soft Layer-Specific Multi-Task Summarization with Entailment and Question Generation","2018-07-01"
"Struct+2Way+Word","https://aclanthology.coli.uni-saarland.de/papers/C18-1146/c18-1146","Structure-Infused Copy Mechanisms for Abstractive Summarization","2018-08-01"
"RT-GENE 4 model ensemble","http://openaccess.thecvf.com/content_ECCV_2018/html/Tobias_Fischer_RT-GENE_Real-Time_Eye_ECCV_2018_paper.html","RT-GENE: Real-Time Eye Gaze Estimation in Natural Environments","2018-10-06"
"RT-GENE 2 model ensemble","http://openaccess.thecvf.com/content_ECCV_2018/html/Tobias_Fischer_RT-GENE_Real-Time_Eye_ECCV_2018_paper.html","RT-GENE: Real-Time Eye Gaze Estimation in Natural Environments","2018-10-06"
"RT-GENE single model","http://openaccess.thecvf.com/content_ECCV_2018/html/Tobias_Fischer_RT-GENE_Real-Time_Eye_ECCV_2018_paper.html","RT-GENE: Real-Time Eye Gaze Estimation in Natural Environments","2018-10-06"
"CapsGNN","https://openreview.net/forum?id=Byl8BnRcYm","Capsule Graph Neural Network","2019-05-01"
"PSCN","http://arxiv.org/abs/1605.05273v4","Learning Convolutional Neural Networks for Graphs","2016-05-17"
"AWE","http://arxiv.org/abs/1805.11921v3","Anonymous Walk Embeddings","2018-05-30"
"GCAPS-CNN","http://arxiv.org/abs/1805.08090v4","Graph Capsule Convolutional Neural Networks","2018-05-21"
"Regularized Deep Regressor","http://arxiv.org/abs/1702.06925v3","Regularizing Face Verification Nets For Pain Intensity Regression","2017-02-22"
"CNN Large + fine-tune","http://arxiv.org/abs/1903.07785v1","Cloze-driven Pretraining of Self-attention Networks","2019-03-19"
"Self-attentive encoder + ELMo","http://arxiv.org/abs/1805.01052v1","Constituency Parsing with a Self-Attentive Encoder","2018-05-02"
"Model combination","http://arxiv.org/abs/1707.03058v1","Improving Neural Parsing by Disentangling Model Combination and Reranking Effects","2017-07-10"
"LSTM Encoder-Decoder + LSTM-LM","http://arxiv.org/abs/1808.10143v2","Direct Output Connection for a High-Rank Language Model","2018-08-30"
"LSTM Encoder-Decoder + LSTM-LM","https://aclanthology.coli.uni-saarland.de/papers/P18-2097/p18-2097","An Empirical Study of Building a Strong Baseline for Constituency Parsing","2018-07-01"
"In-order","https://aclanthology.coli.uni-saarland.de/papers/Q17-1029/q17-1029","In-Order Transition-based Constituent Parsing","2017-01-01"
"Semi-supervised LSTM-LM","https://aclanthology.coli.uni-saarland.de/papers/D16-1257/d16-1257","Parsing as Language Modeling","2016-11-01"
"Stack-only RNNG","http://arxiv.org/abs/1611.05774v2","What Do Recurrent Neural Network Grammars Learn About Syntax?","2016-11-17"
"Transformer","http://arxiv.org/abs/1706.03762v5","Attention Is All You Need","2017-06-12"
"Semi-supervised LSTM","http://arxiv.org/abs/1412.7449v3","Grammar as a Foreign Language","2014-12-23"
"Self-trained parser","","",""
"RNN Grammar","http://arxiv.org/abs/1602.07776v4","Recurrent Neural Network Grammars","2016-02-25"
"Transition-based+improved aligner+ensemble","http://arxiv.org/abs/1810.03541v1","An AMR Aligner Tuned by Transition-based Parser","2018-10-08"
"Incremental joint model","https://aclanthology.coli.uni-saarland.de/papers/D16-1065/d16-1065","AMR Parsing with an Incremental Joint Model","2016-11-01"
"Transition-based transducer","","",""
"Imitation learning ","https://aclanthology.coli.uni-saarland.de/papers/P16-1001/p16-1001","Noise reduction and targeted exploration in imitation learning for Abstract Meaning Representation parsing","2016-08-01"
"Flair embeddings","https://aclanthology.coli.uni-saarland.de/papers/C18-1139/c18-1139","Contextual String Embeddings for Sequence Labeling","2018-08-01"
"JMT","http://arxiv.org/abs/1611.01587v5","A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks","2016-11-05"
"Low supervision","https://aclanthology.coli.uni-saarland.de/papers/P16-2038/p16-2038","Deep multi-task learning with low level tasks supervised at lower layers","2016-08-01"
"Suzuki and Isozaki","","",""
"NCRF++","http://arxiv.org/abs/1806.05626v2","NCRF++: An Open-source Neural Sequence Labeling Toolkit","2018-06-14"
"Clark et al.","http://arxiv.org/abs/1809.08370v1","Semi-Supervised Sequence Modeling with Cross-View Training","2018-09-22"
"Lewis et al.","https://aclanthology.coli.uni-saarland.de/papers/N16-1026/n16-1026","LSTM CCG Parsing","2016-06-01"
"Vaswani et al.","https://aclanthology.coli.uni-saarland.de/papers/N16-1027/n16-1027","Supertagging With LSTMs","2016-06-01"
"Xu et al.","","",""
"NLRN","http://arxiv.org/abs/1806.02919v2","Non-Local Recurrent Network for Image Restoration","2018-06-07"
"MWCNN","http://arxiv.org/abs/1805.07071v2","Multi-level Wavelet-CNN for Image Restoration","2018-05-18"
"DnCNN","http://arxiv.org/abs/1608.03981v1","Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising","2016-08-13"
"FFDNet","http://arxiv.org/abs/1710.04026v2","FFDNet: Toward a Fast and Flexible Solution for CNN based Image Denoising","2017-10-11"
"Deep CNN Denoiser","http://arxiv.org/abs/1704.03264v1","Learning Deep CNN Denoiser Prior for Image Restoration","2017-04-11"
"N3Net","http://arxiv.org/abs/1810.12575v1","Neural Nearest Neighbors Networks","2018-10-30"
"Residual Dense Network +","http://arxiv.org/abs/1812.10477v1","Residual Dense Network for Image Restoration","2018-12-25"
"RED30","http://arxiv.org/abs/1606.08921v3","Image Restoration Using Convolutional Auto-encoders with Symmetric Skip Connections","2016-06-29"
"RDN+","http://arxiv.org/abs/1812.10477v1","Residual Dense Network for Image Restoration","2018-12-25"
"Multi-Loss ResNet50","http://arxiv.org/abs/1710.00925v5","Fine-Grained Head Pose Estimation Without Keypoints","2017-10-02"
"3DDFA","http://arxiv.org/abs/1511.07212v1","Face Alignment Across Large Poses: A 3D Solution","2015-11-23"
"FAN (12 points)","http://arxiv.org/abs/1703.07332v3","How far are we from solving the 2D & 3D Face Alignment problem? (and a dataset of 230,000 3D facial landmarks)","2017-03-21"
"KEPLER","http://arxiv.org/abs/1702.05085v1","KEPLER: Keypoint and Pose Estimation of Unconstrained Faces by Learning Efficient H-CNN Regressors","2017-02-16"
"RetinaNet+Augmented Autoencoders+ICP","http://arxiv.org/abs/1902.01275v1","Implicit 3D Orientation Learning for 6D Object Detection from RGB Images","2019-02-04"
"DenseFusion","http://arxiv.org/abs/1901.04780v1","DenseFusion: 6D Object Pose Estimation by Iterative Dense Fusion","2019-01-15"
"PoseCNN + ICP","http://arxiv.org/abs/1711.00199v3","PoseCNN: A Convolutional Neural Network for 6D Object Pose Estimation in Cluttered Scenes","2017-11-01"
"PointFusion","http://arxiv.org/abs/1711.10871v2","PointFusion: Deep Sensor Fusion for 3D Bounding Box Estimation","2017-11-29"
"PoseCNN + DeepIM","http://arxiv.org/abs/1804.00175v3","DeepIM: Deep Iterative Matching for 6D Pose Estimation","2018-03-31"
"Keypoint detector localization","http://arxiv.org/abs/1812.01387v1","Estimating 6D Pose From Localizing Designated Surface Keypoints","2018-12-04"
"Single-shot deep CNN","http://arxiv.org/abs/1711.08848v5","Real-Time Seamless Single Shot 6D Object Pose Prediction","2017-11-24"
